season,week,n_samples,discrepancy_prob,n_discrepancies,unique_rank_eliminated,unique_percentage_eliminated
13,10,1000,0.0,0,1,1
14,1,1000,0.183,183,8,8
14,2,1000,0.0,0,1,1
14,3,1000,0.0,0,1,1
14,4,1000,0.067,67,2,1
14,5,1000,0.0,0,1,1
14,6,1000,0.0,0,1,1
14,7,1000,0.0,0,1,1
14,8,1000,0.154,154,1,2
14,9,1000,1.0,1000,2,1
14,10,1000,0.0,0,1,1
15,1,1000,0.0,0,1,1
15,2,1000,0.377,377,4,1
15,3,1000,0.206,206,2,2
15,4,1000,0.0,0,1,1
15,5,1000,0.327,327,7,8
15,6,1000,1.0,1000,5,1
15,7,1000,0.376,376,5,3
15,8,1000,0.298,298,1,2
15,9,1000,0.42,420,1,2
15,10,1000,0.0,0,2,2
16,1,1000,0.619,619,4,1
16,2,1000,0.0,0,1,1
16,3,1000,0.0,0,1,1
16,4,1000,0.0,0,1,1
16,5,1000,0.0,0,1,1
16,6,1000,0.0,0,1,1
16,7,1000,0.0,0,1,1
16,8,1000,0.0,0,1,1
16,9,1000,0.0,0,1,1
16,10,1000,0.0,0,1,1
17,1,1000,0.637,637,6,2
17,2,1000,0.007,7,2,1
17,3,1000,0.0,0,1,1
17,4,1000,0.0,0,1,1
17,5,1000,1.0,1000,7,1
17,6,1000,0.036,36,3,2
17,7,1000,0.71,710,3,1
17,8,1000,0.366,366,2,1
17,9,1000,0.874,874,3,1
17,10,1000,0.228,228,2,1
17,11,1000,0.0,0,1,1
18,1,1000,0.002,2,2,1
18,2,1000,0.046,46,1,2
18,3,1000,0.033,33,4,4
18,4,1000,0.476,476,6,7
18,5,1000,0.0,0,1,1
18,6,1000,0.0,0,1,1
18,7,1000,0.0,0,1,1
18,8,1000,0.107,107,2,1
18,9,1000,0.301,301,2,1
18,10,1000,0.732,732,2,2
19,1,1000,0.083,83,2,1
19,2,1000,0.01,10,2,1
19,3,1000,0.0,0,1,1
19,4,1000,0.692,692,4,1
19,5,1000,0.071,71,4,2
19,6,1000,0.571,571,4,1
19,7,1000,0.0,0,1,1
19,8,1000,0.0,0,1,1
19,9,1000,0.0,0,1,1
19,10,1000,0.0,0,1,1
19,11,1000,0.005,5,1,2
20,1,1000,0.145,145,2,4
20,2,1000,1.0,1000,3,1
20,3,1000,0.0,0,1,1
20,4,1000,0.038,38,2,1
20,5,1000,0.714,714,4,1
20,6,1000,0.167,167,2,1
20,7,1000,0.996,996,5,1
20,8,1000,0.05,50,1,2
20,9,1000,0.997,997,3,1
20,10,1000,0.0,0,1,1
21,1,1000,0.313,313,7,4
21,2,1000,0.184,184,1,3
21,3,1000,0.573,573,7,3
21,4,1000,0.0,0,1,1
21,5,1000,0.302,302,2,1
21,6,1000,0.0,0,1,1
21,7,1000,1.0,1000,2,1
21,8,1000,0.0,0,1,1
21,9,1000,0.109,109,1,2
21,10,1000,0.0,0,1,1
21,11,1000,0.998,998,1,2
22,1,1000,0.0,0,1,1
22,2,1000,0.0,0,1,1
22,3,1000,0.0,0,1,1
22,4,1000,0.007,7,3,1
22,5,1000,0.277,277,8,7
22,6,1000,0.0,0,1,1
22,7,1000,0.08,80,3,2
22,8,1000,1.0,1000,4,1
22,9,1000,0.333,333,1,2
22,10,1000,0.0,0,1,1
23,1,1000,0.0,0,1,1
23,2,1000,0.577,577,2,1
23,3,1000,0.0,0,1,1
23,4,1000,0.204,204,1,2
23,5,1000,0.009,9,4,5
23,6,1000,0.0,0,1,1
23,7,1000,0.155,155,2,1
23,8,1000,0.129,129,2,1
23,9,1000,0.0,0,1,1
23,10,1000,1.0,1000,3,1
23,11,1000,0.006,6,2,1
24,1,1000,0.224,224,5,3
24,2,1000,0.0,0,1,1
24,3,1000,0.0,0,1,1
24,4,1000,0.0,0,1,1
24,5,1000,0.195,195,3,1
24,6,1000,1.0,1000,6,1
24,7,1000,0.38,380,4,2
24,8,1000,0.0,0,1,1
24,9,1000,1.0,1000,2,1
24,10,1000,0.969,969,2,1
25,1,1000,0.0,0,1,1
25,2,1000,0.002,2,1,2
25,3,1000,0.052,52,7,6
25,4,1000,0.0,0,1,1
25,5,1000,0.08,80,2,1
25,6,1000,0.0,0,1,1
25,7,1000,0.248,248,1,2
25,8,1000,0.205,205,2,1
25,9,1000,0.418,418,3,1
25,10,1000,0.001,1,1,2
26,1,1000,0.346,346,2,2
26,2,1000,0.05,50,1,2
26,3,1000,0.655,655,2,3
26,4,1000,0.0,0,1,1
27,1,1000,0.002,2,2,1
27,2,1000,0.0,0,1,1
27,3,1000,0.029,29,3,1
27,4,1000,1.0,1000,6,1
27,5,1000,0.267,267,2,2
27,6,1000,0.604,604,4,1
27,7,1000,0.75,750,2,2
27,8,1000,0.147,147,2,2
27,9,1000,0.0,0,1,1
28,1,1000,0.065,65,6,2
28,2,1000,0.352,352,5,4
28,3,1000,0.416,416,5,3
28,4,1000,0.164,164,2,2
28,5,1000,0.026,26,4,2
28,6,1000,1.0,1000,1,1
28,7,1000,0.358,358,2,2
28,8,1000,0.272,272,2,2
28,9,1000,0.001,1,2,1
28,10,1000,0.072,72,4,3
28,11,1000,0.996,996,1,2
29,1,1000,0.298,298,8,3
29,2,1000,0.0,0,2,2
29,3,1000,0.0,0,1,1
29,4,1000,0.005,5,3,5
29,5,1000,0.0,0,1,1
29,6,1000,0.097,97,2,2
29,7,1000,0.422,422,6,5
29,8,1000,0.062,62,3,1
29,9,1000,0.007,7,1,2
29,10,1000,0.815,815,4,6
29,11,1000,0.585,585,2,1
30,1,1000,0.397,397,4,1
30,2,1000,0.0,0,1,1
30,3,1000,0.814,814,6,2
30,4,1000,0.351,351,3,3
30,5,1000,0.986,986,2,2
30,6,1000,0.048,48,1,2
30,7,1000,0.128,128,1,2
30,8,1000,0.309,309,2,2
30,9,1000,0.028,28,1,3
30,10,1000,0.282,282,1,2
31,1,1000,0.0,0,1,1
31,2,1000,0.028,28,2,1
31,3,1000,0.001,1,1,2
31,4,1000,0.0,0,1,1
31,5,1000,0.054,54,3,1
31,6,1000,0.026,26,1,3
31,7,1000,0.086,86,1,3
31,8,1000,0.045,45,6,2
31,9,1000,0.333,333,4,4
31,10,1000,0.0,0,1,1
32,1,1000,0.0,0,1,1
32,2,1000,0.043,43,4,1
32,3,1000,0.0,0,1,1
32,4,1000,0.318,318,4,3
32,5,1000,0.074,74,3,2
32,6,1000,0.118,118,4,1
32,7,1000,0.702,702,6,1
32,8,1000,0.128,128,2,2
32,9,1000,0.005,5,2,1
32,10,1000,0.262,262,4,5
32,11,1000,0.905,905,2,2
33,1,1000,0.671,671,4,1
33,2,1000,0.0,0,1,1
33,3,1000,0.0,0,1,1
33,4,1000,0.282,282,2,2
33,5,1000,0.0,0,1,1
33,6,1000,0.51,510,4,1
33,7,1000,0.04,40,4,5
33,8,1000,0.282,282,4,5
33,9,1000,1.0,1000,1,2
34,1,1000,0.009,9,6,5
34,2,1000,0.273,273,4,5
34,3,1000,0.144,144,2,3
34,4,1000,0.998,998,4,1
34,5,1000,0.015,15,4,2
34,6,1000,0.398,398,2,3
34,7,1000,0.556,556,3,2
34,8,1000,0.135,135,2,2
34,9,1000,0.007,7,2,2
34,10,1000,0.865,865,4,2
34,11,1000,0.381,381,1,3
