season,week,rank_elim_contestant,pct_elim_contestant,diffprob_t
8,5,David Alan Grier_S8,David Alan Grier_S8,0
8,6,Steve-O_S8,Steve-O_S8,0
8,7,Lawrence Taylor_S8,Lawrence Taylor_S8,0
8,8,Chuck Wicks_S8,Chuck Wicks_S8,0
8,9,Lil' Kim_S8,Lil' Kim_S8,0
8,10,Ty Murray_S8,Ty Murray_S8,0
8,11,Gilles Marini_S8,Gilles Marini_S8,0
9,1,Ashley Hamiliton_S9,Ashley Hamiliton_S9,0
9,2,Kathy Ireland_S9,Kathy Ireland_S9,0
9,3,Debi Mazar_S9,Debi Mazar_S9,0
9,4,Chuck Liddell_S9,Chuck Liddell_S9,0
9,5,Natalie Coughlin_S9,Natalie Coughlin_S9,0
9,6,Louie Vito_S9,Louie Vito_S9,0
9,7,Mark Dacascos_S9,Mark Dacascos_S9,0
9,8,Aaron Carter_S9,Aaron Carter_S9,0
9,9,Joanna Krupa_S9,Joanna Krupa_S9,0
9,10,Donny Osmond_S9,Donny Osmond_S9,0
10,2,Shannen Doherty_S10,Shannen Doherty_S10,0
10,3,Buzz Aldrin_S10,Buzz Aldrin_S10,0
10,4,Aiden Turner_S10,Aiden Turner_S10,0
10,5,Kate Gosselin_S10,Kate Gosselin_S10,0
10,6,Jake Pavelka_S10,Jake Pavelka_S10,0
10,7,Pamela Anderson_S10,Pamela Anderson_S10,0
10,8,Niecy Nash_S10,Niecy Nash_S10,0
10,9,Chad Ochocinco_S10,Chad Ochocinco_S10,0
10,10,Erin Andrews_S10,Erin Andrews_S10,0
11,1,David Hasselhoff_S11,David Hasselhoff_S11,0
11,2,Michael Bolton_S11,Michael Bolton_S11,0
11,3,Margaret Cho_S11,Margaret Cho_S11,0
11,4,The Situation_S11,The Situation_S11,0
11,5,Florence Henderson_S11,Florence Henderson_S11,0
11,6,Bristol Palin_S11,Audrina Patridge_S11,1
11,7,Rick Fox_S11,Rick Fox_S11,0
11,8,Kurt Warner_S11,Kurt Warner_S11,0
11,9,Brandy_S11,Brandy_S11,0
11,10,Bristol Palin_S11,Bristol Palin_S11,0
12,2,Mike Catherwood_S12,Mike Catherwood_S12,0
12,3,Wendy Williams_S12,Wendy Williams_S12,0
12,4,Sugar Ray Leonard_S12,Sugar Ray Leonard_S12,0
12,5,Petra Nemcova_S12,Petra Nemcova_S12,0
12,6,Chris Jericho_S12,Chris Jericho_S12,0
12,7,Kendra Wilkinson_S12,Kendra Wilkinson_S12,0
12,8,Romeo_S12,Romeo_S12,0
12,9,Ralph Macchio_S12,Ralph Macchio_S12,0
12,10,Chelsea Kane_S12,Chelsea Kane_S12,0
13,1,Metta World Peace (Ron)_S13,Metta World Peace (Ron)_S13,0
13,2,Elisabetta Canalis_S13,Elisabetta Canalis_S13,0
13,3,Kristin Cavallari_S13,Kristin Cavallari_S13,0
13,4,Chynna Phillips_S13,Chynna Phillips_S13,0
13,5,Carson Kressley_S13,Carson Kressley_S13,0
13,6,Chaz Bono_S13,Chaz Bono_S13,0
13,7,David Arquette_S13,David Arquette_S13,0
13,8,Nancy Grace_S13,Nancy Grace_S13,0
13,9,Hope Solo_S13,Hope Solo_S13,0
13,10,J.R. Martinez_S13,J.R. Martinez_S13,0
14,2,Martina Navratilova_S14,Martina Navratilova_S14,0
14,3,Jack Wagner_S14,Jack Wagner_S14,0
14,4,Sherri Sheperd_S14,Sherri Sheperd_S14,0
14,5,Gavin DeGraw_S14,Gavin DeGraw_S14,0
14,6,Gladys Knight_S14,Gladys Knight_S14,0
14,7,Jaleel White_S14,Jaleel White_S14,0
14,8,Melissa Gilbert_S14,Melissa Gilbert_S14,0
14,9,Katherine Jenkins_S14,Maria Menounos_S14,1
14,10,Donald Driver_S14,Donald Driver_S14,0
15,1,Pamela Anderson_S15,Pamela Anderson_S15,0
15,2,Joey Fatone_S15,Joey Fatone_S15,0
15,3,Drew Lachey_S15,Drew Lachey_S15,0
15,4,Bristol Palin_S15,Bristol Palin_S15,0
15,6,Kelly Monaco_S15,Sabrina Bryan_S15,1
15,8,Gilles Marini_S15,Gilles Marini_S15,0
15,9,Apolo Anton Ohno_S15,Apolo Anton Ohno_S15,0
15,10,Kelly Monaco_S15,Kelly Monaco_S15,0
16,2,Dorothy Hamill_S16,Dorothy Hamill_S16,0
16,3,Wynonna Judd_S16,Wynonna Judd_S16,0
16,4,Lisa Vanderpump_S16,Lisa Vanderpump_S16,0
16,5,D. L. Hughley_S16,D. L. Hughley_S16,0
16,6,Victor Ortiz_S16,Victor Ortiz_S16,0
16,7,Andy Dick_S16,Andy Dick_S16,0
16,8,Sean Lowe_S16,Sean Lowe_S16,0
16,9,Ingo Rademacher_S16,Ingo Rademacher_S16,0
16,10,Alexandra Raisman_S16,Alexandra Raisman_S16,0
17,2,Keyshawn Johnson_S17,Keyshawn Johnson_S17,0
17,3,Bill Nye_S17,Bill Nye_S17,0
17,4,Valerie Harper_S17,Valerie Harper_S17,0
17,5,Bill Engvall_S17,Christina Milian_S17,1
17,7,Bill Engvall_S17,"Nicole ""Snooki"" Polizzi_S17",1
17,8,Brant Daugherty_S17,Brant Daugherty_S17,0
17,9,Elizabeth Berkley Lauren_S17,Elizabeth Berkley Lauren_S17,0
17,10,Leah Remini_S17,Leah Remini_S17,0
17,11,Amber Riley_S17,Amber Riley_S17,0
18,1,Diana Nyad_S18,Diana Nyad_S18,0
18,2,Billy Dee Williams_S18,Billy Dee Williams_S18,0
18,5,Cody Simpson_S18,Cody Simpson_S18,0
18,6,Drew Carey_S18,Drew Carey_S18,0
18,7,NeNe Leakes_S18,NeNe Leakes_S18,0
18,8,Danica McKellar_S18,Danica McKellar_S18,0
18,9,Charlie White_S18,Charlie White_S18,0
18,10,Amy Purdy_S18,Amy Purdy_S18,0
19,1,Lolo Jones_S19,Lolo Jones_S19,0
19,2,Tavis Smiley_S19,Tavis Smiley_S19,0
19,3,Randy Couture_S19,Randy Couture_S19,0
19,4,Tommy Chong_S19,Betsey Johnson_S19,1
19,6,Tommy Chong_S19,Jonathan Bennett_S19,1
19,7,Antonio Sabato Jr._S19,Antonio Sabato Jr._S19,0
19,8,Michael Waltrip_S19,Michael Waltrip_S19,0
19,9,Lea Thompson_S19,Lea Thompson_S19,0
19,10,Tommy Chong_S19,Tommy Chong_S19,0
19,11,Alfonso Ribeiro_S19,Alfonso Ribeiro_S19,0
20,2,Noah Galloway_S20,Redfoo_S20,1
20,3,Charlotte McKinney_S20,Charlotte McKinney_S20,0
20,4,Michael Sam_S20,Michael Sam_S20,0
20,5,Robert Herjavec_S20,Suzanne Somers_S20,1
20,6,Patti LaBelle_S20,Patti LaBelle_S20,0
20,7,Robert Herjavec_S20,Willow Shields_S20,1
20,8,Chris Soules_S20,Chris Soules_S20,0
20,9,Noah Galloway_S20,Nastia Liukin_S20,1
20,10,Noah Galloway_S20,Noah Galloway_S20,0
21,2,Chaka Khan_S21,Chaka Khan_S21,0
21,4,Gary Busey_S21,Gary Busey_S21,0
21,6,Paula Deen_S21,Paula Deen_S21,0
21,7,Alek Skarlatos_S21,Hayes Grier_S21,1
21,8,Andy Grammer_S21,Andy Grammer_S21,0
21,9,Alek Skarlatos_S21,Alexa PenaVega_S21,1
21,11,Alek Skarlatos_S21,Alek Skarlatos_S21,0
22,2,Geraldo Rivera_S22,Geraldo Rivera_S22,0
22,3,Mischa Barton_S22,Mischa Barton_S22,0
22,4,Marla Maples_S22,Marla Maples_S22,0
22,6,Doug Flutie_S22,Doug Flutie_S22,0
22,7,Kim Fields_S22,Kim Fields_S22,0
22,8,Nyle DiMarco_S22,Jodie Sweetin_S22,1
22,9,Antonio Brown_S22,Antonio Brown_S22,0
22,10,Ginger Zee_S22,Ginger Zee_S22,0
23,2,Rick Perry_S23,Jake T. Austin_S23,1
23,3,Rick Perry_S23,Rick Perry_S23,0
23,4,Babyface_S23,Babyface_S23,0
23,6,Amber Rose_S23,Amber Rose_S23,0
23,7,Maureen McCormick_S23,Maureen McCormick_S23,0
23,8,Ryan Lochte_S23,Ryan Lochte_S23,0
23,9,Marilu Henner_S23,Marilu Henner_S23,0
23,10,Calvin Johnson Jr._S23,Terra Jole_S23,1
23,11,Calvin Johnson Jr._S23,Calvin Johnson Jr._S23,0
24,2,Chris Kattan_S24,Chris Kattan_S24,0
24,3,Charo_S24,Charo_S24,0
24,4,Mr. T_S24,Mr. T_S24,0
24,5,Erika Jayne_S24,Erika Jayne_S24,0
24,6,Heather Morris_S24,Heather Morris_S24,0
24,7,Nancy Kerrigan_S24,Nancy Kerrigan_S24,0
24,8,Bonner Bolton_S24,Bonner Bolton_S24,0
24,9,Normani_S24,Simone Biles_S24,1
24,10,David Ross_S24,David Ross_S24,0
25,2,Barbara Corcoran_S25,Barbara Corcoran_S25,0
25,4,Derek Fisher_S25,Derek Fisher_S25,0
25,5,Sasha Pieterse_S25,Sasha Pieterse_S25,0
25,6,Nick Lachey_S25,Nick Lachey_S25,0
25,7,Nikki Bella_S25,Nikki Bella_S25,0
25,8,Terrell Owens_S25,Terrell Owens_S25,0
25,9,Victoria Arlen_S25,Victoria Arlen_S25,0
25,10,Drew Scott_S25,Drew Scott_S25,0
26,1,Jamie Anderson_S26,Jamie Anderson_S26,0
26,2,Arike Ogunbowale_S26,Arike Ogunbowale_S26,0
26,3,Chris Mazdzer_S26,Chris Mazdzer_S26,0
26,4,Adam Rippon_S26,Adam Rippon_S26,0
27,1,Nikki Glaser_S27,Nikki Glaser_S27,0
27,2,Danelle Umstead_S27,Danelle Umstead_S27,0
27,3,Nancy McKeon_S27,Nancy McKeon_S27,0
27,4,Bobby Bones_S27,Tinashe_S27,1
27,6,Mary Lou Retton_S27,Mary Lou Retton_S27,0
27,7,DeMarcus Ware_S27,DeMarcus Ware_S27,0
27,8,Joe Amabile_S27,Joe Amabile_S27,0
27,9,Alexis Ren_S27,Alexis Ren_S27,0
28,2,Mary Wilson_S28,Lamar Odom_S28,1
28,4,Sean Spicer_S28,Lamar Odom_S28,1
28,6,Sean Spicer_S28,Sailor Brinkley-Cook_S28,1
28,7,Sean Spicer_S28,Karamo Brown_S28,1
28,8,Sean Spicer_S28,Sean Spicer_S28,0
28,9,Sean Spicer_S28,Sean Spicer_S28,0
28,10,James Van Der Beek_S28,James Van Der Beek_S28,0
28,11,Ally Brooke_S28,Ally Brooke_S28,0
29,2,Charles Oakley_S29,Charles Oakley_S29,0
29,3,Carole Baskin_S29,Carole Baskin_S29,0
29,4,Anne Heche_S29,Anne Heche_S29,0
29,5,Jesse Metcalfe_S29,Jesse Metcalfe_S29,0
29,6,Veron Davis_S29,Veron Davis_S29,0
29,7,Jeannie Mai_S29,Jeannie Mai_S29,0
29,8,Chrishell Stause_S29,Chrishell Stause_S29,0
29,9,AJ McLean_S29,AJ McLean_S29,0
29,10,Johnny Weir_S29,Nev Schulman_S29,1
29,11,Justina Machado_S29,Justina Machado_S29,0
30,2,Martin Kove_S30,Martin Kove_S30,0
30,3,Cody Rigsby_S30,Christine Chiu_S30,1
30,4,Brian Austin Green_S30,Brian Austin Green_S30,0
30,5,Cody Rigsby_S30,Melanie C_S30,1
30,6,Kenya Moore_S30,Kenya Moore_S30,0
30,7,"Mike ""The Miz"" Mizanin_S30","Mike ""The Miz"" Mizanin_S30",0
30,8,Cody Rigsby_S30,Cody Rigsby_S30,0
30,9,Cody Rigsby_S30,Cody Rigsby_S30,0
30,10,Amanda Kloots_S30,Amanda Kloots_S30,0
31,1,Jason Lewis_S31,Jason Lewis_S31,0
31,2,Teresa Giudice_S31,Teresa Giudice_S31,0
31,3,Cheryl Ladd_S31,Cheryl Ladd_S31,0
31,4,Sam Champion_S31,Sam Champion_S31,0
31,5,Joseph Baena_S31,Joseph Baena_S31,0
31,6,Jessie James Decker_S31,Jessie James Decker_S31,0
31,7,Jordin Sparks_S31,Jordin Sparks_S31,0
31,8,Vinny Guadagnino_S31,Heidi D'Amelio_S31,1
31,9,Trevor Donovan_S31,Trevor Donovan_S31,0
31,10,Charli D'Amelio_S31,Charli D'Amelio_S31,0
32,1,Matt Walsh_S32,Matt Walsh_S32,0
32,2,Jamie Lynn Spears_S32,Jamie Lynn Spears_S32,0
32,3,Tyson Beckford_S32,Tyson Beckford_S32,0
32,4,Adrian Peterson_S32,Adrian Peterson_S32,0
32,5,Mira Sorvino_S32,Mira Sorvino_S32,0
32,6,Mauricio Umansky_S32,Mauricio Umansky_S32,0
32,7,Lele Pons_S32,Lele Pons_S32,0
32,8,Barry Williams_S32,Barry Williams_S32,0
32,9,Harry Jowsey_S32,Harry Jowsey_S32,0
32,11,Alyson Hannigan_S32,Alyson Hannigan_S32,0
33,2,Anna Delvey_S33,Anna Delvey_S33,0
33,3,Eric Roberts_S33,Eric Roberts_S33,0
33,4,Brooks Nader_S33,Brooks Nader_S33,0
33,5,Phaedra Parks_S33,Phaedra Parks_S33,0
33,6,Jenn Tran_S33,Jenn Tran_S33,0
33,7,Dwight Howard _S33,Dwight Howard _S33,0
33,9,Chandler Kinney_S33,Chandler Kinney_S33,0
34,2,Andy Richter_S34,Andy Richter_S34,0
34,3,Lauren Jauregui_S34,Lauren Jauregui_S34,0
34,4,Andy Richter_S34,Hilaria Baldwin_S34,1
34,6,Scott Hoying_S34,Scott Hoying_S34,0
34,7,Andy Richter_S34,Jen Affleck_S34,1
34,8,Danielle Fishel_S34,Danielle Fishel_S34,0
34,9,Andy Richter_S34,Andy Richter_S34,0
34,10,Whitney Leavitt_S34,Whitney Leavitt_S34,0
34,11,Alix Earle_S34,Alix Earle_S34,0
