season,week,contestant_id,fan_percent,judge_percent,week_left,fan_rank,judge_rank,rank_rank,rev_rank_rank,percent_rank,rev_percent_rank,week_rank,season_weeks,voting_method,week_elim,max_week_in_season,rank_rank_is_eliminated,percent_rank_is_eliminated,placement_rank_rank,placement_percent_rank
2,3,Lisa Rinna_S2,0.12464530326849572,0.13736263736263737,8,6,4,7,2,4,5,4,8,rank_v1,1,8,false,false,,
2,3,Master P_S2,0.14135380944135198,0.07692307692307693,8,1,8,5,3,7,2,8,8,rank_v1,1,8,false,false,,
2,3,Stacy Keibler_S2,0.12478944879244054,0.14835164835164835,8,5,1,1,8,1,8,2,8,rank_v1,1,8,false,false,,
2,3,Tia Carrere_S2,0.1251848070286152,0.14285714285714285,8,4,3,2,7,3,6,3,8,rank_v1,1,8,false,false,,
2,4,Drew Lachey_S2,0.14219752956419762,0.17721518987341772,7,6,1,4,4,1,7,1,8,rank_v1,1,8,false,false,,
2,4,George Hamilton_S2,0.1573562175886941,0.13291139240506328,7,1,6,4,4,6,2,6,8,rank_v1,1,8,false,false,,
2,4,Jerry Rice_S2,0.15210528556893457,0.1518987341772152,7,2,5,4,4,5,3,5,8,rank_v1,1,8,false,false,,
2,4,Lisa Rinna_S2,0.14294927711080394,0.16455696202531644,7,5,2,4,4,3,5,2,8,rank_v1,1,8,false,false,,
2,4,Master P_S2,0.11240875729638333,0.05063291139240506,7,7,7,7,1,7,1,7,8,rank_v1,1,8,true,true,,
2,4,Stacy Keibler_S2,0.14473346464143033,0.16455696202531644,7,4,2,1,7,2,6,3,8,rank_v1,1,8,false,false,,
2,4,Tia Carrere_S2,0.1482494682295582,0.15822784810126583,7,3,4,4,4,4,4,4,8,rank_v1,1,8,false,false,,
2,5,Drew Lachey_S2,0.16238567018108183,0.17880794701986755,6,5,2,5,2,2,5,2,8,rank_v1,1,8,false,false,,
2,5,George Hamilton_S2,0.1722800156445245,0.15894039735099338,6,2,4,3,4,5,2,4,8,rank_v1,1,8,false,false,,
2,5,Jerry Rice_S2,0.18745516991337755,0.152317880794702,6,1,5,3,4,3,4,5,8,rank_v1,1,8,false,false,,
2,5,Lisa Rinna_S2,0.1719144017955339,0.16556291390728478,6,3,3,3,4,4,3,3,8,rank_v1,1,8,false,false,,
2,5,Stacy Keibler_S2,0.1718375441654092,0.1986754966887417,6,4,1,1,6,1,6,1,8,rank_v1,1,8,false,false,,
2,5,Tia Carrere_S2,0.13412719830007214,0.1456953642384106,6,6,6,6,1,6,1,6,8,rank_v1,1,8,true,true,,
2,6,Drew Lachey_S2,0.20476517400605093,0.22556390977443608,5,3,1,1,5,1,5,2,8,rank_v1,1,8,false,false,,
2,6,George Hamilton_S2,0.16741900119469844,0.17293233082706766,5,5,4,5,1,5,1,4,8,rank_v1,1,8,true,true,,
2,6,Jerry Rice_S2,0.21462158344130422,0.17293233082706766,5,1,4,3,3,4,2,5,8,rank_v1,1,8,false,false,,
2,6,Lisa Rinna_S2,0.20997919847404697,0.20300751879699247,5,2,3,3,3,3,3,3,8,rank_v1,1,8,false,false,,
2,6,Stacy Keibler_S2,0.20321504288390047,0.22556390977443608,5,4,1,3,3,2,4,1,8,rank_v1,1,8,false,false,,
2,7,Drew Lachey_S2,0.2622276510541752,0.2696078431372549,4,2,1,1,4,1,4,1,8,rank_v1,1,8,false,false,,
2,7,Jerry Rice_S2,0.29790134530165235,0.20098039215686275,4,1,4,3,2,3,2,4,8,rank_v1,1,8,false,false,,
2,7,Lisa Rinna_S2,0.1918352151884179,0.25980392156862747,4,4,3,4,1,4,1,3,8,rank_v1,1,8,true,true,,
2,7,Stacy Keibler_S2,0.24803578845575408,0.2696078431372549,4,3,1,2,3,2,3,2,8,rank_v1,1,8,false,false,,
2,8,Drew Lachey_S2,0.32988927794060086,0.3438729131809768,3,2,1,1,3,2,2,1,8,rank_v1,3,8,true,true,1,2
2,8,Jerry Rice_S2,0.38455222598148237,0.3162063678588072,3,1,3,2,2,1,3,3,8,rank_v1,3,8,true,true,2,1
2,8,Stacy Keibler_S2,0.28555849607791683,0.339920718960216,3,3,2,3,1,3,1,2,8,rank_v1,3,8,true,true,3,3
3,1,Emmitt Smith_S3,0.09404155095847015,0.11320754716981132,11,5,2,1,11,2,10,2,10,percentage,1,10,false,false,,
3,1,Harry Hamlin_S3,0.09578529191088143,0.08018867924528301,11,2,8,4,8,7,5,8,10,percentage,1,10,false,false,,
3,1,Jerry Springer_S3,0.09564996776226015,0.07547169811320754,11,3,9,8,3,8,4,9,10,percentage,1,10,false,false,,
3,1,Joey Lawrence_S3,0.09237083455086174,0.09905660377358491,11,7,5,8,3,5,7,5,10,percentage,1,10,false,false,,
3,1,Mario Lopez_S3,0.0917836643954544,0.12264150943396226,11,9,1,4,8,1,11,1,10,percentage,1,10,false,false,,
3,1,Monique Coleman_S3,0.094834821817071,0.08962264150943396,11,4,6,4,8,6,6,6,10,percentage,1,10,false,false,,
3,1,Sara Evans_S3,0.09691492953461416,0.07075471698113207,11,1,10,6,5,9,3,10,10,percentage,1,10,false,false,,
3,1,Shanna Moakler_S3,0.08180594458695044,0.08490566037735849,11,10,7,10,2,10,2,7,10,percentage,1,10,false,false,,
3,1,Tucker Carlson_S3,0.07176913141951373,0.05660377358490566,11,11,11,11,1,11,1,11,10,percentage,1,10,true,true,,
3,1,Vivica A. Fox_S3,0.09322991342207201,0.10377358490566038,11,6,3,2,10,3,9,4,10,percentage,1,10,false,false,,
3,1,Willa Ford_S3,0.09181394964185101,0.10377358490566038,11,8,3,6,5,4,8,3,10,percentage,1,10,false,false,,
3,2,Emmitt Smith_S3,0.10595872292562279,0.10434782608695652,10,4,3,1,10,3,8,4,10,percentage,1,10,false,false,,
3,2,Harry Hamlin_S3,0.10558030751334924,0.09130434782608696,10,5,8,8,3,8,3,8,10,percentage,1,10,false,false,,
3,2,Jerry Springer_S3,0.10708272564774933,0.08260869565217391,10,2,10,7,4,9,2,10,10,percentage,1,10,false,false,,
3,2,Joey Lawrence_S3,0.1034528752140436,0.12608695652173912,10,7,1,2,8,1,10,1,10,percentage,1,10,false,false,,
3,2,Mario Lopez_S3,0.10737478855419343,0.09130434782608696,10,1,8,4,7,6,5,9,10,percentage,1,10,false,false,,
3,2,Monique Coleman_S3,0.10383251485046485,0.11304347826086956,10,6,2,2,8,2,9,2,10,percentage,1,10,false,false,,
3,2,Sara Evans_S3,0.10605965473674561,0.09130434782608696,10,3,8,5,5,7,4,7,10,percentage,1,10,false,false,,
3,2,Shanna Moakler_S3,0.05856873187040071,0.09565217391304348,10,10,6,10,1,10,1,6,10,percentage,1,10,true,true,,
3,2,Vivica A. Fox_S3,0.10160100911478699,0.10434782608695652,10,8,3,5,5,4,7,3,10,percentage,1,10,false,false,,
3,2,Willa Ford_S3,0.10048866957264367,0.1,10,9,5,9,2,5,6,5,10,percentage,1,10,false,false,,
3,3,Emmitt Smith_S3,0.12472649155533762,0.09178743961352658,9,1,9,6,4,8,2,9,10,percentage,1,10,false,false,,
3,3,Harry Hamlin_S3,0.0685247177728983,0.10628019323671498,9,9,5,9,1,9,1,6,10,percentage,1,10,true,true,,
3,3,Jerry Springer_S3,0.11545653393128179,0.10144927536231885,9,4,8,8,2,7,3,8,10,percentage,1,10,false,false,,
3,3,Joey Lawrence_S3,0.11788961815435534,0.10628019323671498,9,2,5,1,8,4,6,5,10,percentage,1,10,false,false,,
3,3,Mario Lopez_S3,0.1172366252034359,0.10628019323671498,9,3,5,3,7,5,5,7,10,percentage,1,10,false,false,,
3,3,Monique Coleman_S3,0.11320230474699661,0.13043478260869565,9,8,1,4,6,2,8,2,10,percentage,1,10,false,false,,
3,3,Sara Evans_S3,0.11345828548036523,0.12077294685990338,9,7,3,6,4,3,7,3,10,percentage,1,10,false,false,,
3,3,Vivica A. Fox_S3,0.1141702595476648,0.13043478260869565,9,6,1,1,8,1,9,1,10,percentage,1,10,false,false,,
3,3,Willa Ford_S3,0.11533516360766397,0.10628019323671498,9,5,5,6,4,6,4,4,10,percentage,1,10,false,false,,
3,4,Emmitt Smith_S3,0.13219142452399982,0.12121212121212122,8,3,5,2,6,4,5,4,10,percentage,1,10,false,false,,
3,4,Jerry Springer_S3,0.1370733348729415,0.1111111111111111,8,2,7,6,3,6,3,7,10,percentage,1,10,false,false,,
3,4,Joey Lawrence_S3,0.12889596141480614,0.13636363636363635,8,5,3,2,6,3,6,3,10,percentage,1,10,false,false,,
3,4,Mario Lopez_S3,0.12603451602907323,0.14646464646464646,8,7,1,2,6,1,8,1,10,percentage,1,10,false,false,,
3,4,Monique Coleman_S3,0.1302523747908351,0.12121212121212122,8,4,5,6,3,5,4,6,10,percentage,1,10,false,false,,
3,4,Sara Evans_S3,0.13766141844548938,0.10101010101010101,8,1,8,6,3,7,2,8,10,percentage,1,10,false,false,,
3,4,Vivica A. Fox_S3,0.08134895521840545,0.12121212121212122,8,8,5,8,1,8,1,5,10,percentage,1,10,true,true,,
3,4,Willa Ford_S3,0.12654201470444928,0.1414141414141414,8,6,2,2,6,2,7,2,10,percentage,1,10,false,false,,
3,5,Emmitt Smith_S3,0.15763834428009982,0.14917127071823205,7,3,2,1,7,1,7,1,10,percentage,2,10,false,false,,
3,5,Jerry Springer_S3,0.1612211787527212,0.13259668508287292,7,2,6,5,3,5,3,6,10,percentage,2,10,false,false,,
3,5,Joey Lawrence_S3,0.16152080962479823,0.13812154696132597,7,1,5,2,5,4,4,5,10,percentage,2,10,false,false,,
3,5,Mario Lopez_S3,0.15554309008843537,0.14917127071823205,7,4,2,2,5,2,6,2,10,percentage,2,10,false,false,,
3,5,Monique Coleman_S3,0.15412552158172352,0.14917127071823205,7,5,2,4,4,3,5,4,10,percentage,2,10,false,false,,
3,5,Sara Evans_S3,0.11123188840530954,0.13259668508287292,7,6,6,7,1,7,1,7,10,percentage,2,10,true,true,,
3,5,Willa Ford_S3,0.09871916726691214,0.14917127071823205,7,7,2,6,2,6,2,3,10,percentage,2,10,true,true,,
3,6,Emmitt Smith_S3,0.20434506495911162,0.211864406779661,5,1,2,1,4,2,4,2,10,percentage,0,10,false,false,,
3,6,Jerry Springer_S3,0.19450430555669052,0.15254237288135594,5,5,5,5,1,5,1,5,10,percentage,0,10,false,false,,
3,6,Joey Lawrence_S3,0.19819953956441613,0.2033898305084746,5,4,3,3,2,3,3,3,10,percentage,0,10,false,false,,
3,6,Mario Lopez_S3,0.2028177616512267,0.23728813559322035,5,2,1,1,4,1,5,1,10,percentage,0,10,false,false,,
3,6,Monique Coleman_S3,0.20013332826855484,0.19491525423728814,5,3,4,3,2,4,2,4,10,percentage,0,10,false,false,,
3,7,Emmitt Smith_S3,0.21267268620569593,0.2111111111111111,5,1,1,1,5,1,5,1,10,percentage,1,10,false,false,,
3,7,Jerry Springer_S3,0.15614508082484752,0.17037037037037037,5,5,5,5,1,5,1,5,10,percentage,1,10,true,true,,
3,7,Joey Lawrence_S3,0.20958171612109874,0.2111111111111111,5,4,1,2,4,2,4,2,10,percentage,1,10,false,false,,
3,7,Mario Lopez_S3,0.20964112724406034,0.2074074074074074,5,3,3,3,2,3,3,3,10,percentage,1,10,false,false,,
3,7,Monique Coleman_S3,0.21195938960429636,0.2,5,2,4,3,2,4,2,4,10,percentage,1,10,false,false,,
3,8,Emmitt Smith_S3,0.27110328007497847,0.24770642201834864,4,2,2,2,2,3,2,2,10,percentage,1,10,false,false,,
3,8,Joey Lawrence_S3,0.27514832994555694,0.24770642201834864,4,1,2,1,4,2,3,3,10,percentage,1,10,false,false,,
3,8,Mario Lopez_S3,0.2657938031652624,0.26146788990825687,4,3,1,2,2,1,4,1,10,percentage,1,10,false,false,,
3,8,Monique Coleman_S3,0.1879545868142017,0.24311926605504589,4,4,4,4,1,4,1,4,10,percentage,1,10,true,true,,
3,9,Emmitt Smith_S3,0.37307779027873184,0.3333333333333333,3,1,2,1,3,1,3,2,10,percentage,1,10,false,false,,
3,9,Joey Lawrence_S3,0.25828708245964416,0.3333333333333333,3,3,2,3,1,3,1,3,10,percentage,1,10,true,true,,
3,9,Mario Lopez_S3,0.3686351272616244,0.3333333333333333,3,2,2,2,2,2,2,1,10,percentage,1,10,false,false,,
3,10,Emmitt Smith_S3,0.5744646982709827,0.5,2,1,1,1,2,1,2,2,10,percentage,2,10,true,true,1,1
3,10,Mario Lopez_S3,0.42553530172901655,0.5,2,2,1,2,1,2,1,1,10,percentage,2,10,true,true,2,2
4,1,Apolo Anton Ohno_S4,0.093268798116699,0.10194174757281553,11,7,3,5,7,4,8,3,10,percentage,0,10,false,false,,
4,1,Billy Ray Cyrus_S4,0.09396926223657337,0.06310679611650485,11,5,11,9,3,11,1,11,10,percentage,0,10,false,false,,
4,1,Clyde Drexler_S4,0.09714979555677752,0.07766990291262135,11,1,9,5,7,7,5,9,10,percentage,0,10,false,false,,
4,1,Heather Mills_S4,0.07994132359649604,0.08737864077669903,11,10,7,11,1,9,3,7,10,percentage,0,10,false,false,,
4,1,Ian Ziering_S4,0.096231164409468,0.10194174757281553,11,3,3,1,10,3,9,4,10,percentage,0,10,false,false,,
4,1,Joey Fatone_S4,0.09215175579769667,0.11650485436893204,11,8,1,3,9,1,11,1,10,percentage,0,10,false,false,,
4,1,John Ratzenberger_S4,0.0964691321452302,0.0825242718446602,11,2,8,5,7,5,7,8,10,percentage,0,10,false,false,,
4,1,Laila Ali_S4,0.09620695434687583,0.11165048543689321,11,4,2,1,10,2,10,2,10,percentage,0,10,false,false,,
4,1,Leeza Gibbons_S4,0.0936527889699813,0.07281553398058252,11,6,10,9,3,10,2,10,10,percentage,0,10,false,false,,
4,1,Paulina Porizkova_S4,0.07831045870897628,0.09223300970873786,11,11,5,9,3,8,4,6,10,percentage,0,10,false,false,,
4,1,Shandi Finnessey_S4,0.08264856611522622,0.09223300970873786,11,9,5,7,5,6,6,5,10,percentage,0,10,false,false,,
4,2,Apolo Anton Ohno_S4,0.09468161404363766,0.10612244897959183,11,7,2,2,9,2,10,2,10,percentage,1,10,false,false,,
4,2,Billy Ray Cyrus_S4,0.09781463381365517,0.08571428571428572,11,2,7,2,9,5,7,7,10,percentage,1,10,false,false,,
4,2,Clyde Drexler_S4,0.09995833100367803,0.07346938775510205,11,1,11,8,4,9,3,11,10,percentage,1,10,false,false,,
4,2,Heather Mills_S4,0.08534013861572955,0.09795918367346938,11,10,3,9,3,6,6,3,10,percentage,1,10,false,false,,
4,2,Ian Ziering_S4,0.09655202700919338,0.08979591836734693,11,5,5,4,7,4,8,5,10,percentage,1,10,false,false,,
4,2,Joey Fatone_S4,0.09367341610795488,0.09795918367346938,11,8,3,6,5,3,9,4,10,percentage,1,10,false,false,,
4,2,John Ratzenberger_S4,0.09752313884976724,0.08571428571428572,11,3,7,4,7,7,5,6,10,percentage,1,10,false,false,,
4,2,Laila Ali_S4,0.09517712501502557,0.11020408163265306,11,6,1,1,11,1,11,1,10,percentage,1,10,false,false,,
4,2,Leeza Gibbons_S4,0.09745888983402966,0.08571428571428572,11,4,7,6,5,8,4,9,10,percentage,1,10,false,false,,
4,2,Paulina Porizkova_S4,0.05062285603122919,0.08571428571428572,11,11,7,10,2,11,1,8,10,percentage,1,10,false,true,,
4,2,Shandi Finnessey_S4,0.09119782967609952,0.08163265306122448,11,9,10,11,1,10,2,10,10,percentage,1,10,true,false,,
4,3,Apolo Anton Ohno_S4,0.10286895060350468,0.10550458715596331,10,8,5,8,3,4,7,5,10,percentage,1,10,false,false,,
4,3,Billy Ray Cyrus_S4,0.10637536224540428,0.0963302752293578,10,3,7,4,7,6,5,6,10,percentage,1,10,false,false,,
4,3,Clyde Drexler_S4,0.11533400178952312,0.07339449541284404,10,1,10,6,5,9,2,10,10,percentage,1,10,false,false,,
4,3,Heather Mills_S4,0.09301905452461029,0.11009174311926606,10,9,2,6,5,5,6,4,10,percentage,1,10,false,false,,
4,3,Ian Ziering_S4,0.10287361393031931,0.11009174311926606,10,7,2,3,8,3,8,1,10,percentage,1,10,false,false,,
4,3,Joey Fatone_S4,0.10304032107267569,0.11009174311926606,10,6,2,2,9,2,9,2,10,percentage,1,10,false,false,,
4,3,John Ratzenberger_S4,0.10614548505471835,0.09174311926605505,10,5,9,9,2,8,3,9,10,percentage,1,10,false,false,,
4,3,Laila Ali_S4,0.10624537311667161,0.0963302752293578,10,4,7,6,5,7,4,7,10,percentage,1,10,false,false,,
4,3,Leeza Gibbons_S4,0.10791458590439777,0.11009174311926606,10,2,2,1,10,1,10,3,10,percentage,1,10,false,false,,
4,3,Shandi Finnessey_S4,0.05618325175817516,0.0963302752293578,10,10,7,10,1,10,1,8,10,percentage,1,10,true,true,,
4,4,Apolo Anton Ohno_S4,0.11580676073030467,0.1368421052631579,9,5,2,2,8,2,8,2,10,percentage,1,10,false,false,,
4,4,Billy Ray Cyrus_S4,0.11404443246614707,0.11052631578947368,9,6,5,7,3,5,5,6,10,percentage,1,10,false,false,,
4,4,Clyde Drexler_S4,0.12451137114771303,0.07894736842105263,9,1,9,6,4,8,2,9,10,percentage,1,10,false,false,,
4,4,Heather Mills_S4,0.09988211373010338,0.12105263157894737,9,8,4,8,2,6,4,4,10,percentage,1,10,false,false,,
4,4,Ian Ziering_S4,0.11691797593966398,0.12631578947368421,9,3,3,1,9,3,7,3,10,percentage,1,10,false,false,,
4,4,Joey Fatone_S4,0.11128136674737472,0.14736842105263157,9,7,1,3,7,1,9,1,10,percentage,1,10,false,false,,
4,4,John Ratzenberger_S4,0.12105242096458851,0.08421052631578947,9,2,7,4,5,7,3,8,10,percentage,1,10,false,false,,
4,4,Laila Ali_S4,0.11625690393571982,0.11052631578947368,9,4,5,4,5,4,6,5,10,percentage,1,10,false,false,,
4,4,Leeza Gibbons_S4,0.08024665433838461,0.08421052631578947,9,9,7,9,1,9,1,7,10,percentage,1,10,true,true,,
4,5,Apolo Anton Ohno_S4,0.12474896565478766,0.17045454545454544,8,5,1,2,7,1,8,1,10,percentage,1,10,false,false,,
4,5,Billy Ray Cyrus_S4,0.13372889670639054,0.09659090909090909,8,1,7,4,5,7,2,7,10,percentage,1,10,false,false,,
4,5,Clyde Drexler_S4,0.10643119869229498,0.07386363636363637,8,8,8,8,1,8,1,8,10,percentage,1,10,true,true,,
4,5,Heather Mills_S4,0.1162002198204343,0.11931818181818182,8,7,5,7,2,5,4,5,10,percentage,1,10,false,false,,
4,5,Ian Ziering_S4,0.12980420065068565,0.13636363636363635,8,4,4,4,5,4,5,4,10,percentage,1,10,false,false,,
4,5,Joey Fatone_S4,0.12473233842917479,0.14204545454545456,8,6,3,6,3,3,6,3,10,percentage,1,10,false,false,,
4,5,John Ratzenberger_S4,0.13275299981699207,0.10227272727272728,8,2,6,4,5,6,3,6,10,percentage,1,10,false,false,,
4,5,Laila Ali_S4,0.13160118022923983,0.1590909090909091,8,3,2,1,8,2,7,2,10,percentage,1,10,false,false,,
4,6,Apolo Anton Ohno_S4,0.1454422281987189,0.16470588235294117,7,6,1,2,5,2,6,1,10,percentage,1,10,false,false,,
4,6,Billy Ray Cyrus_S4,0.15496356847282244,0.12352941176470589,7,2,6,5,3,5,3,6,10,percentage,1,10,false,false,,
4,6,Heather Mills_S4,0.08690596102784262,0.13529411764705881,7,7,5,7,1,7,1,5,10,percentage,1,10,true,true,,
4,6,Ian Ziering_S4,0.15371823404841872,0.1411764705882353,7,3,4,2,5,4,4,4,10,percentage,1,10,false,false,,
4,6,Joey Fatone_S4,0.14784629715076686,0.1588235294117647,7,5,3,5,3,3,5,3,10,percentage,1,10,false,false,,
4,6,John Ratzenberger_S4,0.16105421824040378,0.11176470588235295,7,1,7,5,3,6,2,7,10,percentage,1,10,false,false,,
4,6,Laila Ali_S4,0.15006949286102625,0.16470588235294117,7,4,1,1,7,1,7,2,10,percentage,1,10,false,false,,
4,7,Apolo Anton Ohno_S4,0.17242626451900883,0.17475728155339806,6,4,3,4,2,4,3,3,10,percentage,1,10,false,false,,
4,7,Billy Ray Cyrus_S4,0.1906948107176444,0.12297734627831715,6,1,6,4,2,5,2,6,10,percentage,1,10,false,false,,
4,7,Ian Ziering_S4,0.17425775549861577,0.17475728155339806,6,3,3,2,4,3,4,4,10,percentage,1,10,false,false,,
4,7,Joey Fatone_S4,0.165015588996774,0.19093851132686085,6,5,1,2,4,2,5,2,10,percentage,1,10,false,false,,
4,7,John Ratzenberger_S4,0.12154813327139617,0.14563106796116504,6,6,5,6,1,6,1,5,10,percentage,1,10,true,true,,
4,7,Laila Ali_S4,0.17605744699656123,0.19093851132686085,6,2,1,1,6,1,6,1,10,percentage,1,10,false,false,,
4,8,Apolo Anton Ohno_S4,0.20425572919566298,0.23107569721115537,5,3,1,1,5,1,5,1,10,percentage,1,10,false,false,,
4,8,Billy Ray Cyrus_S4,0.16521818718112108,0.15139442231075698,5,5,5,5,1,5,1,5,10,percentage,1,10,true,true,,
4,8,Ian Ziering_S4,0.21590555523870483,0.18725099601593626,5,1,4,2,3,4,2,4,10,percentage,1,10,false,false,,
