celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,is_withdrew,contestant_id
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,false,Emmitt Smith_S3
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,false,Shanna Moakler_S3
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,false,Willa Ford_S3
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,true,Sara Evans_S3
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,false,Jerry Springer_S3
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,false,Tucker Carlson_S3
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,false,John Ratzenberger_S4
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,false,Ian Ziering_S4
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,false,Clyde Drexler_S4
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,false,Laila Ali_S4
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,false,Apolo Anton Ohno_S4
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,false,Shandi Finnessey_S4
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,false,Paulina Porizkova_S4
Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,false,Heather Mills_S4
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,false,Billy Ray Cyrus_S4
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,false,Joey Fatone_S4
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,false,Leeza Gibbons_S4
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,false,Cameron Mathison_S5
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,false,Jane Seymour_S5
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,false,Sabrina Bryan_S5
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,false,Jennie Garth_S5
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,false,Floyd Mayweather Jr. _S5
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,false,Josie Maran_S5
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,false,Albert Reed_S5
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,false,Helio Castroneves_S5
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2nd Place,2,false,Mel B_S5
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,false,Wayne Newton_S5
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,false,Marie Osmond_S5
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,false,Mark Cuban_S5
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3rd Place,3,false,Cristian de la Fuente_S6
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,Eliminated Week 3,10,false,Steve Guttenberg_S6
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,Eliminated Week 5,8,false,Priscilla Presley_S6
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,Eliminated Week 6,7,false,Marlee Matlin_S6
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,Eliminated Week 7,6,false,Shannon Elizabeth_S6
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,Eliminated Week 9,4,false,Marissa Jaret Winokur_S6
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2nd Place,2,false,Jason Taylor_S6
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1st Place,1,false,Kristi Yamaguchi_S6
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,Eliminated Week 2,11,false,Monica Seles_S6
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,Eliminated Week 2,12,false,Penn Jillette_S6
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,Eliminated Week 4,9,false,Adam Carolla_S6
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,Eliminated Week 8,5,false,Mario_S6
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,false,Ted McGinley_S7
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,false,Cloris Leachman_S7
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,false,Susan Lucci_S7
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,false,Cody Linley_S7
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,true,Misty May-Treanor_S7
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,false,Maurice Greene_S7
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,false,Warren Sapp_S7
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,false,Jeffrey Ross_S7
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,false,Toni Braxton_S7
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,false,Lance Bass_S7
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,false,Kim Kardashian_S7
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,false,Rocco DiSpirito_S7
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,false,Brooke Burke_S7
Gilles Marini,Cheryl Burke,Actor/Actress,,France,33,8,2nd Place,2,false,Gilles Marini_S8
Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,8,Eliminated Week 3,12,false,Denise Richards_S8
David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,8,Eliminated Week 5,9,false,David Alan Grier_S8
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,Eliminated Week 7,7,false,Lawrence Taylor_S8
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,Eliminated Week 10,4,false,Ty Murray_S8
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1st Place,1,false,Shawn Johnson_S8
Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,8,Eliminated Week 4,10,false,Steve Wozniak_S8
Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,8,Eliminated Week 2,13,false,Belinda Carlisle_S8
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,Eliminated Week 8,6,false,Chuck Wicks_S8
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,Eliminated Week 9,5,false,Lil' Kim_S8
Steve-O,Lacey Schwimmer,TV Personality,,England,34,8,Eliminated Week 6,8,false,Steve-O_S8
Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,8,Eliminated Week 4,11,false,Holly Madison_S8
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3rd Place,3,false,Melissa Rycroft_S8
Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,California,United States,34,9,Eliminated Week 1,16,false,Ashley Hamiliton_S9
Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,9,Eliminated Week 3,12,false,Debi Mazar_S9
Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,Eliminated Week 6,9,false,Melissa Joan Hart_S9
Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,Eliminated Week 7,6,false,Mark Dacascos_S9
Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,9,Eliminated Week 4,11,false,Chuck Liddell_S9
Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,9,Eliminated Week 5,10,false,Natalie Coughlin_S9
Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,9,Eliminated Week 6,8,false,Louie Vito_S9
Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,Eliminated Week 7,7,false,Michael Irvin_S9
Joanna Krupa,Derek Hough,Model,,Poland,30,9,Eliminated Week 9,4,false,Joanna Krupa_S9
Kathy Ireland,Tony Dovolani,Model,California,United States,46,9,Eliminated Week 2,14,false,Kathy Ireland_S9
Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,9,Withdrew,13,true,Tom DeLay_S9
Macy Gray,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,9,Eliminated Week 1,15,false,Macy Gray_S9
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,Eliminated Week 8,5,false,Aaron Carter_S9
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,false,Mya_S9
Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1st Place,1,false,Donny Osmond_S9
Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,9,3rd Place,3,false,Kelly Osbourne_S9
Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,10,Eliminated Week 4,9,false,Aiden Turner_S10
Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,10,Eliminated Week 2,11,false,Shannen Doherty_S10
Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,Eliminated Week 8,5,false,Niecy Nash_S10
Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,Eliminated Week 3,10,false,Buzz Aldrin_S10
Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,Eliminated Week 9,4,false,Chad Ochocinco_S10
Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,false,Evan Lysacek_S10
Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,Eliminated Week 7,6,false,Pamela Anderson_S10
Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,false,Nicole Scherzinger_S10
Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3rd Place,3,false,Erin Andrews_S10
Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,Eliminated Week 5,8,false,Kate Gosselin_S10
Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,Eliminated Week 6,7,false,Jake Pavelka_S10
David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,11,Eliminated Week 1,12,false,David Hasselhoff_S11
Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,Eliminated Week 5,8,false,Florence Henderson_S11
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2nd Place,2,false,Kyle Massey_S11
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1st Place,1,false,Jennifer Grey_S11
Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,Eliminated Week 7,6,false,Rick Fox_S11
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,Eliminated Week 8,5,false,Kurt Warner_S11
Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,Eliminated Week 3,10,false,Margaret Cho_S11
Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,Eliminated Week 2,11,false,Michael Bolton_S11
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,Eliminated Week 9,4,false,Brandy_S11
The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,Eliminated Week 4,9,false,The Situation_S11
Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,Eliminated Week 6,7,false,Audrina Patridge_S11
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3rd Place,3,false,Bristol Palin_S11
Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,12,Eliminated Week 9,4,false,Ralph Macchio_S12
Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,12,3rd Place,3,false,Chelsea Kane_S12
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,12,2nd Place,2,false,Kirstie Alley_S12
Hines Ward,Kym Johnson,Athlete,,South Korea,35,12,1st Place,1,false,Hines Ward_S12
Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,12,Eliminated Week 4,9,false,Sugar Ray Leonard_S12
Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,12,Eliminated Week 6,7,false,Chris Jericho_S12
Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,12,Eliminated Week 5,8,false,Petra Nemcova_S12
Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,12,Eliminated Week 2,11,false,Mike Catherwood_S12
Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,12,Eliminated Week 8,5,false,Romeo_S12
Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,12,Eliminated Week 3,10,false,Wendy Williams_S12
Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,12,Eliminated Week 7,6,false,Kendra Wilkinson_S12
Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,,Italy,33,13,Eliminated Week 2,11,false,Elisabetta Canalis_S13
David Arquette,Kym Johnson,Actor/Actress,Virginia,United States,40,13,Eliminated Week 7,6,false,David Arquette_S13
Ricki Lake,Derek Hough,Actor/Actress,New York,United States,42,13,3rd Place,3,false,Ricki Lake_S13
J.R. Martinez,Karina Smirnoff,Actor/Actress,Louisiana,United States,28,13,1st Place,1,false,J.R. Martinez_S13
Metta World Peace (Ron),Peta Murgatroyd,Athlete,New York,United States,31,13,Eliminated Week 1,12,false,Metta World Peace (Ron)_S13
Hope Solo,Maksim Chmerkoskiy,Athlete,Washington,United States,30,13,Eliminated Week 9,4,false,Hope Solo_S13
Chynna Phillips,Tony Dovolani,Singer/Rapper,California,United States,43,13,Eliminated Week 4,9,false,Chynna Phillips_S13
Kristin Cavallari,Mark Ballas,TV Personality,Colorado,United States,24,13,Eliminated Week 3,10,false,Kristin Cavallari_S13
Carson Kressley,Anna Trebunskaya,TV Personality,Pennsylvania,United States,41,13,Eliminated Week 5,8,false,Carson Kressley_S13
Chaz Bono,Lacey Schwimmer,TV Personality,California,United States,42,13,Eliminated Week 6,7,false,Chaz Bono_S13
Nancy Grace,Tristan MacManus,TV Personality,Georgia,United States,51,13,Eliminated Week 8,5,false,Nancy Grace_S13
Rob Kardashian,Cheryl Burke,TV Personality,California,United States,24,13,2nd Place,2,false,Rob Kardashian_S13
William Levy,Cheryl Burke,Actor/Actress,,Cuba,31,14,3rd Place,3,false,William Levy_S14
Jack Wagner,Anna Trebunskaya,Actor/Actress,Missouri,United States,52,14,Eliminated Week 3,11,false,Jack Wagner_S14
Sherri Sheperd,Valentin Chmerkovskiy,Actor/Actress,Illinois,United States,44,14,Eliminated Week 4,10,false,Sherri Sheperd_S14
Jaleel White,Kym Johnson,Actor/Actress,California,United States,35,14,Eliminated Week 7,7,false,Jaleel White_S14
Roshon Fegan,Chelsie Hightower,Actor/Actress,California,United States,20,14,Eliminated Week 8,6,false,Roshon Fegan_S14
Melissa Gilbert,Maksim Chmerkoskiy,Actor/Actress,California,United States,47,14,Eliminated Week 8,5,false,Melissa Gilbert_S14
Martina Navratilova,Tony Dovolani,Athlete,,Czechoslovakia,55,14,Eliminated Week 2,12,false,Martina Navratilova_S14
Donald Driver,Peta Murgatroyd,Athlete,Texas,United States,37,14,1st Place,1,false,Donald Driver_S14
Gavin DeGraw,Karina Smirnoff,Singer/Rapper,New York,United States,35,14,Eliminated Week 5,9,false,Gavin DeGraw_S14
Gladys Knight,Tristan MacManus,Singer/Rapper,Georgia,United States,67,14,Eliminated Week 6,8,false,Gladys Knight_S14
Katherine Jenkins,Mark Ballas,Singer/Rapper,,Wales,31,14,2nd Place,2,false,Katherine Jenkins_S14
Maria Menounos,Derek Hough,TV Personality,Massachusetts,United States,33,14,Eliminated Week 9,4,false,Maria Menounos_S14
Gilles Marini,Peta Murgatroyd,Actor/Actress,,France,36,15,Eliminated Week 8,6,false,Gilles Marini_S15
Sabrina Bryan,Louis van Amstel,Actor/Actress,California,United States,28,15,Eliminated Week 6,8,false,Sabrina Bryan_S15
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,61,15,Eliminated Week 8,7,false,Kirstie Alley_S15
Kelly Monaco,Valentin Chmerkovskiy,Actor/Actress,Pennsylvania,United States,36,15,3rd Place,3,false,Kelly Monaco_S15
Apolo Anton Ohno,Karina Smirnoff,Athlete,Washington,United States,30,15,Eliminated Week 9,5,false,Apolo Anton Ohno_S15
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,43,15,Eliminated Week 9,4,false,Emmitt Smith_S15
Shawn Johnson,Derek Hough,Athlete,Iowa,United States,20,15,2nd Place,2,false,Shawn Johnson_S15
Pamela Anderson,Tristan MacManus,Model,,Canada,45,15,Eliminated Week 1,13,false,Pamela Anderson_S15
Helio Castroneves,Chelsie Hightower,Racing Driver,,Brazil,37,15,Eliminated Week 3,10,false,Helio Castroneves_S15
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,35,15,Eliminated Week 2,12,false,Joey Fatone_S15
Drew Lachey,Anna Trebunskaya,Singer/Rapper,Ohio,United States,36,15,Eliminated Week 3,11,false,Drew Lachey_S15
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,21,15,Eliminated Week 4,9,false,Bristol Palin_S15
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,29,15,1st Place,1,false,Melissa Rycroft_S15
Ingo Rademacher,Kym Johnson,Actor/Actress,,Germany,41,16,Eliminated Week 9,5,false,Ingo Rademacher_S16
Zendaya,Valentin Chmerkovskiy,Actor/Actress,California,United States,16,16,2nd Place,2,false,Zendaya_S16
Dorothy Hamill,Tristan MacManus,Athlete,Illinois,United States,56,16,Withdrew,12,true,Dorothy Hamill_S16
Victor Ortiz,Lindsay Arnold,Athlete,Kansas,United States,26,16,Eliminated Week 6,8,false,Victor Ortiz_S16
Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,16,Eliminated Week 10,4,false,Alexandra Raisman_S16
Jacoby Jones,Karina Smirnoff,Athlete,Louisiana,United States,28,16,3rd Place,3,false,Jacoby Jones_S16
D. L. Hughley,Cheryl Burke,Comedian,Virginia,United States,50,16,Eliminated Week 5,9,false,D. L. Hughley_S16
Andy Dick,Sharna Burgess,Comedian,South Carolina,United States,47,16,Eliminated Week 7,7,false,Andy Dick_S16
Wynonna Judd,Tony Dovolani,Singer/Rapper,Kentucky,United States,48,16,Eliminated Week 3,11,false,Wynonna Judd_S16
Kellie Pickler,Derek Hough,Singer/Rapper,North Carolina,United States,26,16,1st Place,1,false,Kellie Pickler_S16
Lisa Vanderpump,Gleb Savchenko,TV Personality,,England,52,16,Eliminated Week 4,10,false,Lisa Vanderpump_S16
Sean Lowe,Peta Murgatroyd,TV Personality,Texas,United States,29,16,Eliminated Week 8,6,false,Sean Lowe_S16
Valerie Harper,Tristan MacManus,Actor/Actress,New York,United States,74,17,Eliminated Week 4,10,false,Valerie Harper_S17
Brant Daugherty,Peta Murgatroyd,Actor/Actress,Ohio,United States,28,17,Eliminated Week 8,7,false,Brant Daugherty_S17
Elizabeth Berkley Lauren,Valentin Chmerkovskiy,Actor/Actress,Michigan,United States,39,17,Eliminated Week 9,6,false,Elizabeth Berkley Lauren_S17
Leah Remini,Tony Dovolani,Actor/Actress,New York,United States,43,17,Eliminated Week 10,5,false,Leah Remini_S17
Corbin Bleu,Karina Smirnoff,Actor/Actress,New York,United States,24,17,2nd Place,2,false,Corbin Bleu_S17
Amber Riley,Derek Hough,Actor/Actress,California,United States,27,17,1st Place,1,false,Amber Riley_S17
Keyshawn Johnson,Sharna Burgess,Athlete,California,United States,41,17,Eliminated Week 2,12,false,Keyshawn Johnson_S17
Bill Engvall,Emma Slater,Comedian,Texas,United States,56,17,Eliminated Week 11,4,false,Bill Engvall_S17
Christina Milian,Mark Ballas,Singer/Rapper,New Jersey,United States,31,17,Eliminated Week 5,9,false,Christina Milian_S17
"Nicole ""Snooki"" Polizzi",Sasha Farber,TV Personality,,Chile,25,17,Eliminated Week 7,8,false,"Nicole ""Snooki"" Polizzi_S17"
Jack Osbourne,Cheryl Burke,TV Personality,,England,27,17,3rd Place,3,false,Jack Osbourne_S17
Bill Nye,Tyne Stecklein,TV Personality,Washington D.C.,United States,57,17,Eliminated Week 3,11,false,Bill Nye_S17
Billy Dee Williams,Emma Slater,Actor/Actress,New York,United States,76,18,Withdrew,10,true,Billy Dee Williams_S18
Danica McKellar,Valentin Chmerkovskiy,Actor/Actress,California,United States,39,18,Eliminated Week 8,6,false,Danica McKellar_S18
James Maslow,Peta Murgatroyd,Actor/Actress,New York,United States,23,18,Eliminated Week 10,4,false,James Maslow_S18
Candace Cameron Bure,Mark Ballas,Actor/Actress,California,United States,37,18,3rd Place,3,false,Candace Cameron Bure_S18
Sean Avery,Karina Smirnoff,Athlete,,Canada,33,18,Eliminated Week 2,11,false,Sean Avery_S18
Diana Nyad,Henry Byalikov,Athlete,New York,United States,64,18,Eliminated Week 2,12,false,Diana Nyad_S18
Charlie White,Sharna Burgess,Athlete,Michigan,United States,26,18,Eliminated Week 9,5,false,Charlie White_S18
Amy Purdy,Derek Hough,Athlete,Nevada,United States,34,18,2nd Place,2,false,Amy Purdy_S18
Meryl Davis,Maksim Chmerkoskiy,Athlete,Michigan,United States,27,18,1st Place,1,false,Meryl Davis_S18
Drew Carey,Cheryl Burke,Comedian,Ohio,United States,55,18,Eliminated Week 6,8,false,Drew Carey_S18
Cody Simpson,Witney Carson,Singer/Rapper,,Australia,17,18,Eliminated Week 5,9,false,Cody Simpson_S18
NeNe Leakes,Tony Dovolani,TV Personality,New York,United States,46,18,Eliminated Week 7,7,false,NeNe Leakes_S18
Antonio Sabato Jr.,Cheryl Burke,Actor/Actress,,Italy,42,19,Eliminated Week 7,8,false,Antonio Sabato Jr._S19
Jonathan Bennett,Allison Holker,Actor/Actress,Ohio,United States,33,19,Eliminated Week 6,9,false,Jonathan Bennett_S19
Lea Thompson,Artem Chigvintsev,Actor/Actress,Minnesota,United States,53,19,Eliminated Week 9,6,false,Lea Thompson_S19
Janel Parrish,Valentin Chmerkovskiy,Actor/Actress,Hawaii,United States,25,19,3rd Place,3,false,Janel Parrish_S19
Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,19,1st Place,1,false,Alfonso Ribeiro_S19
Lolo Jones,Keo Motsepe,Athlete,Iowa,United States,32,19,Eliminated Week 1,13,false,Lolo Jones_S19
Randy Couture,Karina Smirnoff,Athlete,Washington,United States,51,19,Eliminated Week 3,11,false,Randy Couture_S19
Tommy Chong,Peta Murgatroyd,Comedian,,Canada,76,19,Eliminated Week 10,5,false,Tommy Chong_S19
Betsey Johnson,Tony Dovolani,Fashion Designer,Connecticut,United States,72,19,Eliminated Week 4,10,false,Betsey Johnson_S19
Michael Waltrip,Emma Slater,Racing Driver,Kentucky,United States,51,19,Eliminated Week 8,7,false,Michael Waltrip_S19
Tavis Smiley,Sharna Burgess,Radio Personality,Mississippi,United States,50,19,Eliminated Week 2,12,false,Tavis Smiley_S19
Bethany Mota,Derek Hough,Social Media Personality,California,United States,18,19,Eliminated Week 11,4,false,Bethany Mota_S19
Sadie Robertson,Mark Ballas,TV Personality,Louisiana,United States,17,19,2nd Place,2,false,Sadie Robertson_S19
Suzanne Somers,Tony Dovolani,Actor/Actress,California,United States,68,20,Eliminated Week 5,9,false,Suzanne Somers_S20
Willow Shields,Mark Ballas,Actor/Actress,New Mexico,United States,14,20,Eliminated Week 7,7,false,Willow Shields_S20
Riker Lynch,Allison Holker,Actor/Actress,Colorado,United States,23,20,2nd Place,2,false,Riker Lynch_S20
Rumer Willis,Valentin Chmerkovskiy,Actor/Actress,Kentucky,United States,26,20,1st Place,1,false,Rumer Willis_S20
