contestant_id,celebrity_name,season,weeks_competed,season_total_score,season_avg_weekly_score,season_avg_judge_score,score_volatility,avg_rank,weeks_ranked_first,placement,results,ballroom_partner,celebrity_industry,celebrity_age_during_season,is_withdrew,industry_code,voting_method,is_controversy_case
Robert Herjavec_S20,Robert Herjavec,20,8,238.5,29.8125,7.453125,3.272586351583626,6.5,0,6,Eliminated Week 8,Kym Johnson,Entrepreneur,52,false,7,percentage,false
David Alan Grier_S8,David Alan Grier,8,5,104.0,20.8,6.933333333333333,2.7748873851023212,6.8,0,9,Eliminated Week 5,Kym Johnson,Actor/Actress,52,false,0,percentage,false
Sherri Sheperd_S14,Sherri Sheperd,14,4,91.0,22.75,7.583333333333334,1.2583057392117916,6.5,0,10,Eliminated Week 4,Valentin Chmerkovskiy,Actor/Actress,44,false,0,percentage,false
Chaz Bono_S13,Chaz Bono,13,6,113.0,18.833333333333332,6.277777777777778,1.834847859269718,8.166666666666666,0,7,Eliminated Week 6,Lacey Schwimmer,TV Personality,42,false,25,percentage,false
Danelle Umstead_S27,Danelle Umstead,27,2,36.5,18.25,6.083333333333334,0.3535533905932738,10.5,0,12,Eliminated Week 2,Artem Chigvintsev,Athlete,46,false,2,percentage,false
Pamela Anderson_S10,Pamela Anderson,10,7,163.9998,23.428542857142855,7.809514285714286,3.3469303642079473,4.0,0,6,Eliminated Week 7,Damian Whitewood,Model,42,false,13,percentage,false
Adrian Peterson_S32,Adrian Peterson,32,4,76.0,19.0,5.875,3.1622776601683795,8.5,0,11,Eliminated Week 4,Britt Stewart,Athlete,38,false,2,rank_v2,false
Carlos PenaVega_S21,Carlos PenaVega,21,11,323.9998,29.454527272727272,8.999993939393939,5.377987119562654,3.5454545454545454,2,4,Eliminated Week 11,Witney Carson,Actor/Actress,26,false,0,percentage,false
Chrishell Stause_S29,Chrishell Stause,29,8,171.0,21.375,7.125,4.596194077712558,8.0,0,8,Eliminated Week 8,Gleb Savchenko,Actor/Actress,39,false,0,rank_v2,false
Redfoo_S20,Redfoo,20,2,53.0,26.5,6.625,6.363961030678928,8.5,0,12,Eliminated Week 2,Emma Slater,Singer/Rapper,39,false,21,percentage,false
Von Miller_S22,Von Miller,22,7,172.0,24.571428571428573,7.464285714285714,4.68533680244878,6.571428571428571,0,7,Eliminated Week 7,Witney Carson,Athlete,27,false,2,percentage,false
Joey McIntyre_S1,Joey McIntyre,1,5,105.5,21.1,7.033333333333333,1.1401754250991376,3.2,0,3,3rd Place,Ashly DelGrosso,Singer/Rapper,32,false,21,rank_v1,false
Joseph Baena_S31,Joseph Baena,31,5,139.0,27.8,6.95,4.764451699828639,10.0,0,11,Eliminated Week 5,Daniella Karagach,Actor/Actress,24,false,0,rank_v2,false
Alix Earle_S34,Alix Earle,34,11,331.5,30.136363636363637,8.791666666666666,9.203507236621563,3.6363636363636362,2,2,2nd Place,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,24,false,23,rank_v2,false
Mike Catherwood_S12,Mike Catherwood,12,2,30.0,15.0,5.0,2.8284271247461903,10.0,0,11,Eliminated Week 2,Lacey Schwimmer,Radio Personality,32,false,20,percentage,false
Tom DeLay_S9,Tom DeLay,9,3,52.9999,17.666633333333333,5.888877777777778,2.5165651200263683,12.666666666666666,0,13,Withdrew,Cheryl Burke,Politician,62,true,17,percentage,false
Shannon Elizabeth_S6,Shannon Elizabeth,6,7,169.5,24.214285714285715,8.071428571428571,2.1574897229794407,4.714285714285714,0,6,Eliminated Week 7,Derek Hough,Actor/Actress,34,false,0,percentage,false
Mary Wilson_S28,Mary Wilson,28,2,32.0,16.0,5.333333333333334,1.4142135623730951,8.5,0,12,Eliminated Week 2,Brandon Armstrong,Singer/Rapper,75,false,21,rank_v2,false
Melanie C_S30,Melanie C,30,5,148.0,29.6,7.766666666666666,5.412947441089743,4.4,0,11,Eliminated Week 5,Gleb Savchenko,Singer/Rapper,47,false,21,rank_v2,false
Jeannie Mai_S29,Jeannie Mai,29,7,153.0,21.857142857142858,7.285714285714286,3.023715784073817,7.857142857142857,0,9,Withdrew,Brandon Armstrong,TV Personality,41,true,25,rank_v2,false
Dorothy Hamill_S16,Dorothy Hamill,16,2,36.0,18.0,6.0,4.242640687119285,7.0,0,12,Withdrew,Tristan MacManus,Athlete,56,true,2,percentage,false
Normani_S24,Normani,24,10,358.83320000000003,35.883320000000005,8.970830000000001,4.585291460698608,2.4,5,3,3rd Place,Valentin Chmerkovskiy,Singer/Rapper,20,false,21,percentage,false
Sailor Brinkley-Cook_S28,Sailor Brinkley-Cook,28,6,141.0,23.5,7.402777777777779,5.089204259999788,4.666666666666667,0,9,Eliminated Week 6,Valentin Chmerkovskiy,Model,21,false,13,rank_v2,false
Debbie Gibson_S25,Debbie Gibson,25,2,37.5,18.75,6.25,2.4748737341529163,9.0,0,12,Eliminated Week 2,Alan Bersten,Singer/Rapper,47,false,21,percentage,false
Karamo Brown_S28,Karamo Brown,28,7,150.5,21.5,6.833333333333334,4.481443219916251,6.571428571428571,0,8,Eliminated Week 7,Jenna Johnson,TV Personality,38,false,25,rank_v2,false
Baron Davis_S34,Baron Davis,34,2,28.0,14.0,5.5,5.656854249492381,10.0,0,13,Eliminated Week 2,Britt Stewart,Athlete,46,false,2,rank_v2,false
Trevor Donovan_S31,Trevor Donovan,31,9,286.5,31.833333333333332,7.958333333333333,5.958187643906494,7.0,0,6,Eliminated Week 9,Emma Slater,Actor/Actress,39,false,0,rank_v2,false
Hilaria Baldwin_S34,Hilaria Baldwin,34,4,80.0,20.0,7.25,4.08248290463863,5.5,0,11,Eliminated Week 4,Gleb Savchenko,Entrepreneur,41,false,7,rank_v2,false
Selma Blair_S31,Selma Blair,31,5,156.0,31.2,7.8,5.215361924162119,6.4,0,12,Withdrew,Sasha Farber,Actor/Actress,50,true,0,rank_v2,false
Monica Aldama_S29,Monica Aldama,29,7,155.0,22.142857142857142,7.3809523809523805,3.8913824205360674,6.571428571428571,0,10,Eliminated Week 7,Valentin Chmerkovskiy,TV Personality,48,false,25,rank_v2,false
Corbin Bleu_S17,Corbin Bleu,17,11,313.6663,28.51511818181818,9.220948484848485,3.5122396674538545,2.090909090909091,5,2,2nd Place,Karina Smirnoff,Actor/Actress,24,false,0,percentage,false
Jordin Sparks_S31,Jordin Sparks,31,7,220.0,31.428571428571427,7.857142857142857,3.9626229889280347,7.714285714285714,0,9,Eliminated Week 7,Brandon Armstrong,Singer/Rapper,32,false,21,rank_v2,false
Harry Jowsey_S32,Harry Jowsey,32,9,209.0,23.22222222222222,6.416666666666667,7.120003121097943,8.777777777777779,0,6,Eliminated Week 9,Rylee Arnold,TV Personality,26,false,25,rank_v2,false
Steve Wozniak_S8,Steve Wozniak,8,4,52.0,13.0,4.333333333333333,2.9439202887759492,12.0,0,10,Eliminated Week 4,Karina Smirnoff,Entrepreneur,58,false,7,percentage,false
Betsey Johnson_S19,Betsey Johnson,19,4,106.0,26.5,6.625,4.358898943540673,9.0,0,10,Eliminated Week 4,Tony Dovolani,Fashion Designer,72,false,8,percentage,false
Barbara Corcoran_S25,Barbara Corcoran,25,2,31.0,15.5,5.166666666666667,2.1213203435596424,13.0,0,13,Eliminated Week 2,Keo Motsepe,Entrepreneur,68,false,7,percentage,false
Cody Simpson_S18,Cody Simpson,18,5,144.0,28.8,7.933333333333333,6.3796551630946325,6.8,0,9,Eliminated Week 5,Witney Carson,Singer/Rapper,17,false,21,percentage,false
Donald Driver_S14,Donald Driver,14,10,271.1665,27.11665,9.038883333333334,3.411146489329748,3.8,1,1,1st Place,Peta Murgatroyd,Athlete,37,false,2,percentage,false
Kellie Pickler_S16,Kellie Pickler,16,10,267.5,26.75,8.916666666666666,2.5522321385189257,2.3,3,1,1st Place,Derek Hough,Singer/Rapper,26,false,21,percentage,false
Brian Austin Green_S30,Brian Austin Green,30,4,92.0,23.0,6.145833333333333,2.943920288775949,12.25,0,13,Eliminated Week 4,Sharna Burgess,Actor/Actress,48,false,0,rank_v2,false
Gavin DeGraw_S14,Gavin DeGraw,14,5,107.0,21.4,7.133333333333333,2.0736441353327715,9.0,0,9,Eliminated Week 5,Karina Smirnoff,Singer/Rapper,35,false,21,percentage,false
Nick Carter_S21,Nick Carter,21,11,328.0,29.818181818181817,9.106060606060607,5.254867873090281,3.1818181818181817,3,2,2nd Place,Sharna Burgess,Singer/Rapper,35,false,21,percentage,false
Margaret Cho_S11,Margaret Cho,11,3,51.0,17.0,5.666666666666667,1.7320508075688772,10.0,0,10,Eliminated Week 3,Louis van Amstel,Comedian,41,false,4,percentage,false
Willow Shields_S20,Willow Shields,20,7,237.5,33.92857142857143,8.482142857142858,4.919591543246346,3.5714285714285716,1,7,Eliminated Week 7,Mark Ballas,Actor/Actress,14,false,0,percentage,false
Nikki Bella_S25,Nikki Bella,25,7,171.5,24.5,7.738095238095239,5.722761571129798,5.857142857142857,0,8,Eliminated Week 7,Artem Chigvintsev,Athlete,33,false,2,percentage,false
Tyson Beckford_S32,Tyson Beckford,32,3,50.0,16.666666666666668,5.0,4.163331998932265,11.333333333333334,0,12,Eliminated Week 3,Jenna Johnson,Model,52,false,13,rank_v2,false
Bristol Palin_S15,Bristol Palin,15,4,92.0,23.0,7.0,6.284902544988268,10.5,0,9,Eliminated Week 4,Mark Ballas,TV Personality,21,false,25,percentage,false
Maurice Greene_S7,Maurice Greene,7,8,179.5,22.4375,7.479166666666667,2.94518371971209,5.125,0,5,Eliminated Week 8,Cheryl Burke,Athlete,34,false,2,percentage,false
Wanya Morris_S22,Wanya Morris,22,9,247.5,27.5,8.564814814814815,3.905124837953327,2.888888888888889,2,4,Eliminated Week 9,Lindsay Arnold,Singer/Rapper,42,false,21,percentage,false
Mauricio Umansky_S32,Mauricio Umansky,32,6,126.0,21.0,6.222222222222221,7.456540752922899,8.833333333333334,0,9,Eliminated Week 6,Emma Slater,TV Personality,53,false,25,rank_v2,false
Kaitlyn Bristowe_S29,Kaitlyn Bristowe,29,11,286.0,26.0,8.666666666666666,3.4641016151377544,2.909090909090909,2,1,1st Place,Artem Chigvintsev,TV Personality,35,false,25,rank_v2,false
Jenn Tran_S33,Jenn Tran,33,6,157.5,26.25,7.875,6.064239441183041,6.0,0,7,Eliminated Week 6,Sasha Farber,TV Personality,26,false,25,rank_v2,false
Jerry Rice_S2,Jerry Rice,2,8,180.16660000000002,22.520825000000002,7.506941666666666,2.3560586372462926,4.625,0,2,2nd Place,Anna Trebunskaya,Athlete,43,false,2,rank_v1,true
Nicole Scherzinger_S10,Nicole Scherzinger,10,10,280.7776,28.07776,9.359253333333333,3.559693356393996,1.4,7,1,1st Place,Derek Hough,Singer/Rapper,31,false,21,percentage,false
Laurie Hernandez_S23,Laurie Hernandez,23,11,362.83320000000003,32.98483636363637,9.140148484848485,4.45372757300505,2.3636363636363638,4,1,1st Place,Valentin Chmerkovskiy,Athlete,16,false,2,percentage,false
Jordan Fisher_S25,Jordan Fisher,25,10,295.0,29.5,9.175,5.9113826169894,1.6,6,1,1st Place,Lindsay Arnold,Actor/Actress,23,false,0,percentage,false
Lisa Rinna_S2,Lisa Rinna,2,7,168.5,24.071428571428573,8.023809523809524,3.2201005603936688,4.285714285714286,0,4,Eliminated Week 7,Louis van Amstel,Actor/Actress,42,false,0,rank_v1,false
Jimmie Allen_S30,Jimmie Allen,30,8,243.5,30.4375,7.817708333333334,6.821381824821126,7.5,0,7,Eliminated Week 8,Emma Slater,Singer/Rapper,36,false,21,rank_v2,false
Eric Roberts_S33,Eric Roberts,33,3,53.0,17.666666666666668,5.25,4.618802153517006,12.0,0,10,Eliminated Week 3,Britt Stewart,Actor/Actress,68,false,0,rank_v2,false
Ted McGinley_S7,Ted McGinley,7,1,18.5,18.5,6.166666666666667,,8.0,0,12,Eliminated Week 1,Inna Brayer,Actor/Actress,50,false,0,percentage,false
Sean Avery_S18,Sean Avery,18,2,41.0,20.5,6.833333333333334,0.7071067811865476,9.5,0,11,Eliminated Week 2,Karina Smirnoff,Athlete,33,false,2,percentage,false
Drew Lachey_S2,Drew Lachey,2,8,219.4998,27.437475,9.145825,1.761416841839059,1.375,5,1,1st Place,Cheryl Burke,Singer/Rapper,29,false,21,rank_v1,false
JoJo Siwa_S30,JoJo Siwa,30,10,359.0,35.9,9.175,5.933895104491747,1.9,4,2,2nd Place,Jenna Johnson,Social Media Personality,18,false,22,rank_v2,false
Nick Lachey_S25,Nick Lachey,25,6,128.0,21.333333333333332,6.75,2.804757862395018,9.666666666666666,0,9,Eliminated Week 6,Peta Murgatroyd,Singer/Rapper,43,false,21,percentage,false
Kyle Massey_S11,Kyle Massey,11,10,255.8331,25.58331,8.248603333333332,4.6102580873646435,3.9,0,2,2nd Place,Lacey Schwimmer,Actor/Actress,19,false,0,percentage,false
Cristian de la Fuente_S6,Cristian de la Fuente,6,10,247.5,24.75,8.25,2.8987545218210142,4.2,1,3,3rd Place,Cheryl Burke,Actor/Actress,34,false,0,percentage,false
John O'Hurley_S1,John O'Hurley,1,6,145.0,24.166666666666668,8.055555555555555,3.060501048303474,1.8333333333333333,2,2,2nd Place,Charlotte Jorgensen,Actor/Actress,50,false,0,rank_v1,false
Erika Jayne_S24,Erika Jayne,24,5,140.0,28.0,7.0,3.1622776601683795,7.2,0,9,Eliminated Week 5,Gleb Savchenko,Singer/Rapper,45,false,21,percentage,false
Sara Evans_S3,Sara Evans,3,5,105.0,21.0,7.0,3.9370039370059056,7.2,0,6,Withdrew,Tony Dovolani,Singer/Rapper,35,true,21,percentage,false
Danielle Fishel_S34,Danielle Fishel,34,8,210.0,26.25,7.572916666666666,9.300537618869138,7.625,0,8,Eliminated Week 8,Pasha Pashkov,Actor/Actress,44,false,0,rank_v2,false
Cheryl Ladd_S31,Cheryl Ladd,31,3,66.0,22.0,5.5,1.7320508075688772,12.666666666666666,0,14,Eliminated Week 3,Louis van Amstel,Actor/Actress,71,false,0,rank_v2,false
Helio Castroneves_S15,Helio Castroneves,15,3,70.0,23.333333333333332,7.777777777777779,2.0207259421636907,6.333333333333333,0,10,Eliminated Week 3,Chelsie Hightower,Racing Driver,37,false,19,percentage,false
Leah Remini_S17,Leah Remini,17,10,256.9999,25.699990000000003,8.29583,3.392795307854574,6.0,0,5,Eliminated Week 10,Tony Dovolani,Actor/Actress,43,false,0,percentage,false
Vivica A. Fox_S3,Vivica A. Fox,3,4,97.0,24.25,8.083333333333332,2.0615528128088303,3.25,0,8,Eliminated Week 4,Nick Kosovich,Actor/Actress,42,false,0,percentage,false
Heather Morris_S24,Heather Morris,24,6,197.0,32.833333333333336,8.208333333333334,3.311595788538611,3.3333333333333335,1,8,Eliminated Week 6,Maksim Chmerkoskiy,Actor/Actress,30,false,0,percentage,false
Louie Vito_S9,Louie Vito,9,6,127.9998,21.333299999999998,7.1111,3.88152203909755,8.666666666666666,0,8,Eliminated Week 6,Chelsie Hightower,Athlete,21,false,2,percentage,false
Shannen Doherty_S10,Shannen Doherty,10,2,38.0,19.0,6.333333333333334,1.4142135623730951,7.0,0,11,Eliminated Week 2,Mark Ballas,Actor/Actress,38,false,0,percentage,false
Nev Schulman_S29,Nev Schulman,29,11,289.9998,26.363618181818183,8.787872727272728,3.748925179786383,2.5454545454545454,5,2,2nd Place,Jenna Johnson,Producer,35,false,18,rank_v2,false
Dwight Howard _S33,Dwight Howard ,33,7,178.0,25.428571428571427,7.821428571428571,3.4572215654165057,5.571428571428571,0,6,Eliminated Week 7,Daniella Karagach,Athlete,38,false,2,rank_v2,false
Chelsea Kane_S12,Chelsea Kane,12,10,267.6666,26.76666,8.655553333333334,5.354813826040599,2.5,5,3,3rd Place,Mark Ballas,Actor/Actress,22,false,0,percentage,false
Jen Affleck_S34,Jen Affleck,34,7,171.0,24.428571428571427,7.297619047619047,7.764387566686397,6.714285714285714,1,9,Eliminated Week 7,Jan Ravnik,TV Personality,26,false,25,rank_v2,false
Jesse Metcalfe_S29,Jesse Metcalfe,29,5,98.0,19.6,6.533333333333333,1.1401754250991385,9.0,0,12,Eliminated Week 5,Sharna Burgess,Actor/Actress,41,false,0,rank_v2,false
Penn Jillette_S6,Penn Jillette,6,2,33.0,16.5,5.5,0.7071067811865476,10.0,0,12,Eliminated Week 2,Kym Johnson,Magician,53,false,11,percentage,false
Mira Sorvino_S32,Mira Sorvino,32,5,104.0,20.8,6.5,3.5637059362410928,7.2,0,10,Eliminated Week 5,Gleb Savchenko,Actor/Actress,55,false,0,rank_v2,false
Andy Richter_S34,Andy Richter,34,9,204.0,22.666666666666668,6.398148148148148,7.937253933193772,10.333333333333334,0,7,Eliminated Week 9,Emma Slater/Kaitlyn Bristowe (week 9),Comedian,59,false,4,rank_v2,false
Adam Rippon_S26,Adam Rippon,26,4,131.0,32.75,9.291666666666666,7.675719293112969,1.5,2,1,1st Place,Jenna Johnson,Athlete,28,false,2,percentage,false
Rick Perry_S23,Rick Perry,23,3,65.0,21.666666666666668,5.416666666666667,1.5275252316519463,12.666666666666666,0,12,Eliminated Week 3,Emma Slater,Politician,66,false,17,percentage,false
Steve Guttenberg_S6,Steve Guttenberg,6,3,55.0,18.333333333333332,6.111111111111111,2.5166114784235836,9.666666666666666,0,10,Eliminated Week 3,Anna Trebunskaya,Actor/Actress,49,false,0,percentage,false
Carole Baskin_S29,Carole Baskin,29,3,39.0,13.0,4.333333333333333,2.6457513110645907,13.666666666666666,0,14,Eliminated Week 3,Pasha Pashkov,TV Personality,59,false,25,rank_v2,false
Alexa PenaVega_S21,Alexa PenaVega,21,9,256.4998,28.499977777777776,8.518511111111112,6.373780275820971,4.111111111111111,2,6,Eliminated Week 9,Mark Ballas,Actor/Actress,27,false,0,percentage,false
Janel Parrish_S19,Janel Parrish,19,11,397.9998,36.1818,9.04545,4.07596904306203,3.1818181818181817,2,3,3rd Place,Valentin Chmerkovskiy,Actor/Actress,25,false,0,percentage,false
Elizabeth Berkley Lauren_S17,Elizabeth Berkley Lauren,17,9,238.9998,26.555533333333333,8.851844444444446,2.4036442249218166,3.888888888888889,0,6,Eliminated Week 9,Valentin Chmerkovskiy,Actor/Actress,39,false,0,percentage,false
Kurt Warner_S11,Kurt Warner,11,8,184.9999,23.1249875,7.343745833333333,5.3835095431558395,5.125,0,5,Eliminated Week 8,Anna Trebunskaya,Athlete,39,false,2,percentage,false
Stephen Nedoroscik_S33,Stephen Nedoroscik,33,9,242.0,26.88888888888889,8.37037037037037,4.021642837337884,4.0,0,4,4th Place,Rylee Arnold,Athlete,26,false,2,rank_v2,false
Mark Cuban_S5,Mark Cuban,5,5,102.0,20.4,6.8,1.51657508881031,8.0,0,8,Eliminated Week 5,Kym Johnson,TV Personality,49,false,25,percentage,false
Melissa Rycroft_S8,Melissa Rycroft,8,11,293.5,26.681818181818183,8.893939393939393,2.2053653583105826,2.5454545454545454,2,3,3rd Place,Tony Dovolani,TV Personality,26,false,25,percentage,false
Frankie Muniz_S25,Frankie Muniz,25,10,268.8887,26.888869999999997,8.380550833333334,5.683481805695051,3.8,1,3,3rd Place,Witney Carson,Actor/Actress,31,false,0,percentage,false
Elaine Hendrix_S34,Elaine Hendrix,34,11,306.9998,27.909072727272726,8.1856,7.806463056863961,5.7272727272727275,0,5,5th Place,Alan Bersten (Rashad Jennings week 9),Actor/Actress,55,false,0,rank_v2,false
Hope Solo_S13,Hope Solo,13,9,207.4998,23.055533333333333,7.685177777777778,2.4295484271773637,4.444444444444445,0,4,Eliminated Week 9,Maksim Chmerkoskiy,Athlete,30,false,2,percentage,false
Michael Waltrip_S19,Michael Waltrip,19,8,205.0,25.625,6.40625,3.067688753070345,9.0,0,7,Eliminated Week 8,Emma Slater,Racing Driver,51,false,19,percentage,false
Lauren Jauregui_S34,Lauren Jauregui,34,3,52.0,17.333333333333332,6.5,4.041451884327381,7.0,0,12,Eliminated Week 3,Brandon Armstrong,Singer/Rapper,29,false,21,rank_v2,false
Leeza Gibbons_S4,Leeza Gibbons,4,4,76.0,19.0,6.333333333333333,4.242640687119285,6.0,1,9,Eliminated Week 4,Tony Dovolani,TV Personality,50,false,25,percentage,false
Robert Irwin_S34,Robert Irwin,34,11,332.1666,30.196963636363638,8.838381818181817,8.982952822682831,3.272727272727273,1,1,1st Place,Witney Carson (Xoshitl Gomez week 9),Conservationist,22,false,6,rank_v2,false
Jamie Anderson_S26,Jamie Anderson,26,1,19.0,19.0,6.333333333333333,,8.0,0,10,Eliminated Week 1,Artem Chigvintsev,Athlete,27,false,2,percentage,false
Erin Andrews_S10,Erin Andrews,10,10,249.4998,24.94998,8.31666,4.212734398833033,3.2,0,3,3rd Place,Maksim Chmerkoskiy,Sports Broadcaster,32,false,24,percentage,false
David Hasselhoff_S11,David Hasselhoff,11,1,15.0,15.0,5.0,,12.0,0,12,Eliminated Week 1,Kym Johnson,Actor/Actress,58,false,0,percentage,false
Jennie Garth_S5,Jennie Garth,5,9,227.5,25.27777777777778,8.425925925925926,2.705447180124654,4.444444444444445,0,4,Eliminated Week 9,Derek Hough,Actor/Actress,35,false,0,percentage,false
Olivia Jade_S30,Olivia Jade,30,8,261.0,32.625,8.40625,6.457277179386724,4.25,2,8,Eliminated Week 8,Valentin Chmerkovskiy,Social Media Personality,21,false,22,rank_v2,false
Calvin Johnson Jr._S23,Calvin Johnson Jr.,23,11,340.3331,30.939372727272726,8.530297727272727,5.654501952266161,4.454545454545454,1,3,3rd Place,Lindsay Arnold,Athlete,30,false,2,percentage,false
Bethany Mota_S19,Bethany Mota,19,11,396.5,36.04545454545455,9.011363636363637,3.0533141457647743,2.909090909090909,2,4,Eliminated Week 11,Derek Hough,Social Media Personality,18,false,22,percentage,false
Drew Carey_S18,Drew Carey,18,6,165.0,27.5,7.458333333333333,5.319774431308154,7.5,0,8,Eliminated Week 6,Cheryl Burke,Comedian,55,false,4,percentage,false
Gary Busey_S21,Gary Busey,21,4,72.5,18.125,5.520833333333333,4.62556302879264,10.5,0,10,Eliminated Week 4,Anna Trebunskaya,Actor/Actress,71,false,0,percentage,false
Natalie Coughlin_S9,Natalie Coughlin,9,5,119.9998,23.999959999999998,7.999986666666667,2.5494509228459368,5.8,0,10,Eliminated Week 5,Alec Mazo,Athlete,27,false,2,percentage,false
Apolo Anton Ohno_S15,Apolo Anton Ohno,15,9,255.6387,28.4043,9.148655555555555,3.974091277889827,4.111111111111111,0,5,Eliminated Week 9,Karina Smirnoff,Athlete,30,false,2,percentage,false
William Levy_S14,William Levy,14,10,277.6666,27.76666,9.255553333333333,3.8258344043271566,2.9,2,3,3rd Place,Cheryl Burke,Actor/Actress,31,false,0,percentage,false
Nikki Glaser_S27,Nikki Glaser,27,1,17.5,17.5,5.833333333333333,,12.0,0,13,Eliminated Week 1,Gleb Savchenko,Comedian,34,false,4,percentage,false
Ingo Rademacher_S16,Ingo Rademacher,16,9,202.5,22.5,7.5,2.091650066335189,5.555555555555555,0,5,Eliminated Week 9,Kym Johnson,Actor/Actress,41,false,0,percentage,false
Christine Chiu_S30,Christine Chiu,30,3,70.0,23.333333333333332,6.416666666666667,2.081665999466132,8.666666666666666,0,14,Eliminated Week 3,Pasha Pashkov,TV Personality,38,false,25,rank_v2,false
Joey Graziadei_S33,Joey Graziadei,33,9,258.0,28.666666666666668,8.898148148148147,5.2141634036535525,2.3333333333333335,2,1,1st Place,Jenna Johnson,TV Personality,29,false,25,rank_v2,false
Matt James_S30,Matt James,30,4,94.5,23.625,6.322916666666667,3.637192140465866,11.75,0,12,Eliminated Week 4,Lindsay Arnold,Athlete,29,false,2,rank_v2,false
Clyde Drexler_S4,Clyde Drexler,4,5,78.0,15.6,5.2,1.8165902124584952,9.4,0,8,Eliminated Week 5,Elena Grinenko,Athlete,44,false,2,percentage,false
Ryan Lochte_S23,Ryan Lochte,23,8,208.0,26.0,7.25,3.664501525251616,8.125,0,7,Eliminated Week 8,Cheryl Burke,Athlete,32,false,2,percentage,false
Lance Bass_S7,Lance Bass,7,10,243.5,24.35,8.116666666666667,3.009706519468855,3.5,3,3,3rd Place,Lacey Schwimmer,Singer/Rapper,29,false,21,percentage,false
Bill Engvall_S17,Bill Engvall,17,11,257.4998,23.409072727272726,7.575751515151516,3.1370137800433424,7.181818181818182,0,4,Eliminated Week 11,Emma Slater,Comedian,56,false,4,percentage,false
Nick Viall_S24,Nick Viall,24,7,203.5,29.071428571428573,7.267857142857143,4.147575310031266,7.285714285714286,0,6,Eliminated Week 7,Peta Murgatroyd,TV Personality,36,false,25,percentage,false
Victoria Arlen_S25,Victoria Arlen,25,9,228.5,25.38888888888889,8.175925925925926,3.8550111687401274,4.555555555555555,0,5,Eliminated Week 9,Valentin Chmerkovskiy,Athlete,22,false,2,percentage,false
James Van Der Beek_S28,James Van Der Beek,28,10,265.4998,26.549979999999998,8.31666,4.821512211329552,3.1,2,5,Eliminated Week 10,Emma Slater,Actor/Actress,42,false,0,rank_v2,false
Juan Pablo Di Pace_S27,Juan Pablo Di Pace,27,8,219.0,27.375,9.125,3.067688753070345,2.375,3,5,Eliminated Week 8,Cheryl Burke,Actor/Actress,39,false,0,percentage,false
Kelly Monaco_S1,Kelly Monaco,1,6,128.0,21.333333333333332,7.111111111111111,5.5287129303904585,3.1666666666666665,2,1,1st Place,Alec Mazo,Actor/Actress,29,false,0,rank_v1,false
