contestant_id,celebrity_name,season,week,total_score,avg_score,judge_count,min_score,max_score,week_rank,prev_week_score,cum_avg_score,diff_prev_week,diff_cum_avg
Drew Lachey_S2,Drew Lachey,2,7,27.5,9.166666666666666,3,9.0,9.5,1,30.0,27.214285714285715,-2.5,0.2857142857142847
Stacy Keibler_S2,Stacy Keibler,2,8,28.6665,9.5555,3,9.3333,9.6666,2,27.5,27.520812499999998,1.1664999999999992,1.145687500000001
Drew Lachey_S2,Drew Lachey,2,8,28.9998,9.6666,3,9.6666,9.6666,1,27.5,27.437475,1.4998000000000005,1.5623250000000013
Jerry Rice_S2,Jerry Rice,2,8,26.666600000000003,8.888866666666667,3,8.6666,9.0,3,20.5,22.520825000000002,6.1666000000000025,4.145775
Shanna Moakler_S3,Shanna Moakler,3,1,18.0,6.0,3,5.0,7.0,7,,18.0,,0.0
Sara Evans_S3,Sara Evans,3,1,15.0,5.0,3,5.0,5.0,10,,15.0,,0.0
Monique Coleman_S3,Monique Coleman,3,1,19.0,6.333333333333333,3,6.0,7.0,6,,19.0,,0.0
Jerry Springer_S3,Jerry Springer,3,1,16.0,5.333333333333333,3,5.0,6.0,9,,16.0,,0.0
Emmitt Smith_S3,Emmitt Smith,3,1,24.0,8.0,3,8.0,8.0,2,,24.0,,0.0
Vivica A. Fox_S3,Vivica A. Fox,3,1,22.0,7.333333333333333,3,6.0,8.0,4,,22.0,,0.0
Tucker Carlson_S3,Tucker Carlson,3,1,12.0,4.0,3,3.0,5.0,11,,12.0,,0.0
Joey Lawrence_S3,Joey Lawrence,3,1,21.0,7.0,3,7.0,7.0,5,,21.0,,0.0
Harry Hamlin_S3,Harry Hamlin,3,1,17.0,5.666666666666667,3,5.0,6.0,8,,17.0,,0.0
Mario Lopez_S3,Mario Lopez,3,1,26.0,8.666666666666666,3,8.0,9.0,1,,26.0,,0.0
Willa Ford_S3,Willa Ford,3,1,22.0,7.333333333333333,3,7.0,8.0,3,,22.0,,0.0
Monique Coleman_S3,Monique Coleman,3,2,26.0,8.666666666666666,3,8.0,9.0,2,19.0,22.5,7.0,3.5
Emmitt Smith_S3,Emmitt Smith,3,2,24.0,8.0,3,8.0,8.0,4,24.0,24.0,0.0,0.0
Jerry Springer_S3,Jerry Springer,3,2,19.0,6.333333333333333,3,6.0,7.0,10,16.0,17.5,3.0,1.5
Shanna Moakler_S3,Shanna Moakler,3,2,22.0,7.333333333333333,3,7.0,8.0,6,18.0,20.0,4.0,2.0
Vivica A. Fox_S3,Vivica A. Fox,3,2,24.0,8.0,3,8.0,8.0,3,22.0,23.0,2.0,1.0
Willa Ford_S3,Willa Ford,3,2,23.0,7.666666666666667,3,7.0,8.0,5,22.0,22.5,1.0,0.5
Joey Lawrence_S3,Joey Lawrence,3,2,29.0,9.666666666666666,3,9.0,10.0,1,21.0,25.0,8.0,4.0
Mario Lopez_S3,Mario Lopez,3,2,21.0,7.0,3,6.0,8.0,9,26.0,23.5,-5.0,-2.5
Harry Hamlin_S3,Harry Hamlin,3,2,21.0,7.0,3,7.0,7.0,8,17.0,19.0,4.0,2.0
Sara Evans_S3,Sara Evans,3,2,21.0,7.0,3,7.0,7.0,7,15.0,18.0,6.0,3.0
Willa Ford_S3,Willa Ford,3,3,22.0,7.333333333333333,3,7.0,8.0,4,23.0,22.333333333333332,-1.0,-0.33333333333333215
Emmitt Smith_S3,Emmitt Smith,3,3,19.0,6.333333333333333,3,6.0,7.0,9,24.0,22.333333333333332,-5.0,-3.333333333333332
Monique Coleman_S3,Monique Coleman,3,3,27.0,9.0,3,9.0,9.0,2,26.0,24.0,1.0,3.0
Sara Evans_S3,Sara Evans,3,3,25.0,8.333333333333334,3,8.0,9.0,3,21.0,20.333333333333332,4.0,4.666666666666668
Jerry Springer_S3,Jerry Springer,3,3,21.0,7.0,3,7.0,7.0,8,19.0,18.666666666666668,2.0,2.333333333333332
Mario Lopez_S3,Mario Lopez,3,3,22.0,7.333333333333333,3,6.0,8.0,7,21.0,23.0,1.0,-1.0
Joey Lawrence_S3,Joey Lawrence,3,3,22.0,7.333333333333333,3,6.0,8.0,5,29.0,24.0,-7.0,-2.0
Vivica A. Fox_S3,Vivica A. Fox,3,3,27.0,9.0,3,9.0,9.0,1,24.0,24.333333333333332,3.0,2.666666666666668
Harry Hamlin_S3,Harry Hamlin,3,3,22.0,7.333333333333333,3,7.0,8.0,6,21.0,20.0,1.0,2.0
Sara Evans_S3,Sara Evans,3,4,20.0,6.666666666666667,3,6.0,7.0,8,25.0,20.25,-5.0,-0.25
Monique Coleman_S3,Monique Coleman,3,4,24.0,8.0,3,8.0,8.0,6,27.0,24.0,-3.0,0.0
Jerry Springer_S3,Jerry Springer,3,4,22.0,7.333333333333333,3,7.0,8.0,7,21.0,19.5,1.0,2.5
Vivica A. Fox_S3,Vivica A. Fox,3,4,24.0,8.0,3,8.0,8.0,5,27.0,24.25,-3.0,-0.25
Mario Lopez_S3,Mario Lopez,3,4,29.0,9.666666666666666,3,9.0,10.0,1,22.0,24.5,7.0,4.5
Joey Lawrence_S3,Joey Lawrence,3,4,27.0,9.0,3,9.0,9.0,3,22.0,24.75,5.0,2.25
Emmitt Smith_S3,Emmitt Smith,3,4,24.0,8.0,3,8.0,8.0,4,19.0,22.75,5.0,1.25
Willa Ford_S3,Willa Ford,3,4,28.0,9.333333333333334,3,9.0,10.0,2,22.0,23.75,6.0,4.25
Mario Lopez_S3,Mario Lopez,3,5,27.0,9.0,3,9.0,9.0,2,29.0,25.0,-2.0,2.0
Willa Ford_S3,Willa Ford,3,5,27.0,9.0,3,9.0,9.0,3,28.0,24.4,-1.0,2.6000000000000014
Joey Lawrence_S3,Joey Lawrence,3,5,25.0,8.333333333333334,3,8.0,9.0,5,27.0,24.8,-2.0,0.1999999999999993
Sara Evans_S3,Sara Evans,3,5,24.0,8.0,3,8.0,8.0,7,20.0,21.0,4.0,3.0
Emmitt Smith_S3,Emmitt Smith,3,5,27.0,9.0,3,9.0,9.0,1,24.0,23.6,3.0,3.3999999999999986
Monique Coleman_S3,Monique Coleman,3,5,27.0,9.0,3,9.0,9.0,4,24.0,24.6,3.0,2.3999999999999986
Jerry Springer_S3,Jerry Springer,3,5,24.0,8.0,3,8.0,8.0,6,22.0,20.4,2.0,3.6000000000000014
Monique Coleman_S3,Monique Coleman,3,6,23.0,7.666666666666667,3,7.0,9.0,4,27.0,24.333333333333332,-4.0,-1.3333333333333321
Emmitt Smith_S3,Emmitt Smith,3,6,25.0,8.333333333333334,3,8.0,9.0,2,27.0,23.833333333333332,-2.0,1.1666666666666679
Jerry Springer_S3,Jerry Springer,3,6,18.0,6.0,3,5.0,7.0,5,24.0,20.0,-6.0,-2.0
Joey Lawrence_S3,Joey Lawrence,3,6,24.0,8.0,3,8.0,8.0,3,25.0,24.666666666666668,-1.0,-0.6666666666666679
Mario Lopez_S3,Mario Lopez,3,6,28.0,9.333333333333334,3,9.0,10.0,1,27.0,25.5,1.0,2.5
Monique Coleman_S3,Monique Coleman,3,7,27.0,9.0,3,9.0,9.0,4,23.0,24.714285714285715,4.0,2.2857142857142847
Mario Lopez_S3,Mario Lopez,3,7,28.0,9.333333333333334,3,9.0,9.5,3,28.0,25.857142857142858,0.0,2.1428571428571423
Jerry Springer_S3,Jerry Springer,3,7,23.0,7.666666666666667,3,7.5,8.0,5,18.0,20.428571428571427,5.0,2.571428571428573
Emmitt Smith_S3,Emmitt Smith,3,7,28.5,9.5,3,9.0,10.0,1,25.0,24.5,3.5,4.0
Joey Lawrence_S3,Joey Lawrence,3,7,28.5,9.5,3,9.0,10.0,2,24.0,25.214285714285715,4.5,3.2857142857142847
Joey Lawrence_S3,Joey Lawrence,3,8,27.0,9.0,3,8.5,9.5,3,28.5,25.4375,-1.5,1.5625
Mario Lopez_S3,Mario Lopez,3,8,28.5,9.5,3,9.0,10.0,1,28.0,26.1875,0.5,2.3125
Monique Coleman_S3,Monique Coleman,3,8,26.5,8.833333333333334,3,8.5,9.0,4,27.0,24.9375,-0.5,1.5625
Emmitt Smith_S3,Emmitt Smith,3,8,27.0,9.0,3,8.5,9.5,2,28.5,24.8125,-1.5,2.1875
Joey Lawrence_S3,Joey Lawrence,3,9,29.5,9.833333333333334,3,9.5,10.0,3,27.0,25.88888888888889,2.5,3.6111111111111107
Emmitt Smith_S3,Emmitt Smith,3,9,29.5,9.833333333333334,3,9.5,10.0,2,27.0,25.333333333333332,2.5,4.166666666666668
Mario Lopez_S3,Mario Lopez,3,9,29.5,9.833333333333334,3,9.5,10.0,1,28.5,26.555555555555557,1.0,2.944444444444443
Emmitt Smith_S3,Emmitt Smith,3,10,29.666600000000003,9.888866666666667,3,9.6666,10.0,2,29.5,25.76666,0.16660000000000252,3.899940000000001
Mario Lopez_S3,Mario Lopez,3,10,29.666600000000003,9.888866666666667,3,9.6666,10.0,1,29.5,26.866660000000003,0.16660000000000252,2.7999399999999994
Shandi Finnessey_S4,Shandi Finnessey,4,1,19.0,6.333333333333333,3,6.0,7.0,5,,19.0,,0.0
Heather Mills_S4,Heather Mills,4,1,18.0,6.0,3,6.0,6.0,7,,18.0,,0.0
Ian Ziering_S4,Ian Ziering,4,1,21.0,7.0,3,7.0,7.0,4,,21.0,,0.0
Apolo Anton Ohno_S4,Apolo Anton Ohno,4,1,21.0,7.0,3,7.0,7.0,3,,21.0,,0.0
Paulina Porizkova_S4,Paulina Porizkova,4,1,19.0,6.333333333333333,3,6.0,7.0,6,,19.0,,0.0
John Ratzenberger_S4,John Ratzenberger,4,1,17.0,5.666666666666667,3,5.0,6.0,8,,17.0,,0.0
Billy Ray Cyrus_S4,Billy Ray Cyrus,4,1,13.0,4.333333333333333,3,4.0,5.0,11,,13.0,,0.0
Leeza Gibbons_S4,Leeza Gibbons,4,1,15.0,5.0,3,5.0,5.0,10,,15.0,,0.0
Clyde Drexler_S4,Clyde Drexler,4,1,16.0,5.333333333333333,3,5.0,6.0,9,,16.0,,0.0
Joey Fatone_S4,Joey Fatone,4,1,24.0,8.0,3,8.0,8.0,1,,24.0,,0.0
Laila Ali_S4,Laila Ali,4,1,23.0,7.666666666666667,3,7.0,8.0,2,,23.0,,0.0
Clyde Drexler_S4,Clyde Drexler,4,2,18.0,6.0,3,6.0,6.0,11,16.0,17.0,2.0,1.0
Paulina Porizkova_S4,Paulina Porizkova,4,2,21.0,7.0,3,7.0,7.0,8,19.0,20.0,2.0,1.0
Leeza Gibbons_S4,Leeza Gibbons,4,2,21.0,7.0,3,7.0,7.0,9,15.0,18.0,6.0,3.0
Heather Mills_S4,Heather Mills,4,2,24.0,8.0,3,8.0,8.0,3,18.0,21.0,6.0,3.0
Laila Ali_S4,Laila Ali,4,2,27.0,9.0,3,9.0,9.0,1,23.0,25.0,4.0,2.0
Ian Ziering_S4,Ian Ziering,4,2,22.0,7.333333333333333,3,7.0,8.0,5,21.0,21.5,1.0,0.5
Apolo Anton Ohno_S4,Apolo Anton Ohno,4,2,26.0,8.666666666666666,3,8.0,9.0,2,21.0,23.5,5.0,2.5
Shandi Finnessey_S4,Shandi Finnessey,4,2,20.0,6.666666666666667,3,6.0,7.0,10,19.0,19.5,1.0,0.5
John Ratzenberger_S4,John Ratzenberger,4,2,21.0,7.0,3,7.0,7.0,6,17.0,19.0,4.0,2.0
Joey Fatone_S4,Joey Fatone,4,2,24.0,8.0,3,8.0,8.0,4,24.0,24.0,0.0,0.0
Billy Ray Cyrus_S4,Billy Ray Cyrus,4,2,21.0,7.0,3,7.0,7.0,7,13.0,17.0,8.0,4.0
Heather Mills_S4,Heather Mills,4,3,24.0,8.0,3,8.0,8.0,4,24.0,22.0,0.0,2.0
Laila Ali_S4,Laila Ali,4,3,21.0,7.0,3,7.0,7.0,7,27.0,23.666666666666668,-6.0,-2.666666666666668
Joey Fatone_S4,Joey Fatone,4,3,24.0,8.0,3,8.0,8.0,2,24.0,24.0,0.0,0.0
Apolo Anton Ohno_S4,Apolo Anton Ohno,4,3,23.0,7.666666666666667,3,7.0,8.0,5,26.0,23.333333333333332,-3.0,-0.33333333333333215
Ian Ziering_S4,Ian Ziering,4,3,24.0,8.0,3,8.0,8.0,1,22.0,22.333333333333332,2.0,1.6666666666666679
Leeza Gibbons_S4,Leeza Gibbons,4,3,24.0,8.0,3,8.0,8.0,3,21.0,20.0,3.0,4.0
Clyde Drexler_S4,Clyde Drexler,4,3,16.0,5.333333333333333,3,5.0,6.0,10,18.0,16.666666666666668,-2.0,-0.6666666666666679
Shandi Finnessey_S4,Shandi Finnessey,4,3,21.0,7.0,3,7.0,7.0,8,20.0,20.0,1.0,1.0
John Ratzenberger_S4,John Ratzenberger,4,3,20.0,6.666666666666667,3,6.0,7.0,9,21.0,19.333333333333332,-1.0,0.6666666666666679
Billy Ray Cyrus_S4,Billy Ray Cyrus,4,3,21.0,7.0,3,7.0,7.0,6,21.0,18.333333333333332,0.0,2.666666666666668
Leeza Gibbons_S4,Leeza Gibbons,4,4,16.0,5.333333333333333,3,5.0,6.0,7,24.0,19.0,-8.0,-3.0
Billy Ray Cyrus_S4,Billy Ray Cyrus,4,4,21.0,7.0,3,7.0,7.0,6,21.0,19.0,0.0,2.0
Laila Ali_S4,Laila Ali,4,4,21.0,7.0,3,7.0,7.0,5,21.0,23.0,0.0,-2.0
Joey Fatone_S4,Joey Fatone,4,4,28.0,9.333333333333334,3,9.0,10.0,1,24.0,25.0,4.0,3.0
John Ratzenberger_S4,John Ratzenberger,4,4,16.0,5.333333333333333,3,5.0,6.0,8,20.0,18.5,-4.0,-2.5
Heather Mills_S4,Heather Mills,4,4,23.0,7.666666666666667,3,7.0,8.0,4,24.0,22.25,-1.0,0.75
Apolo Anton Ohno_S4,Apolo Anton Ohno,4,4,26.0,8.666666666666666,3,8.0,9.0,2,23.0,24.0,3.0,2.0
Ian Ziering_S4,Ian Ziering,4,4,24.0,8.0,3,7.0,9.0,3,24.0,22.75,0.0,1.25
Clyde Drexler_S4,Clyde Drexler,4,4,15.0,5.0,3,4.0,6.0,9,16.0,16.25,-1.0,-1.25
Billy Ray Cyrus_S4,Billy Ray Cyrus,4,5,17.0,5.666666666666667,3,5.0,6.0,7,21.0,18.6,-4.0,-1.6000000000000014
Clyde Drexler_S4,Clyde Drexler,4,5,13.0,4.333333333333333,3,4.0,5.0,8,15.0,15.6,-2.0,-2.5999999999999996
Apolo Anton Ohno_S4,Apolo Anton Ohno,4,5,30.0,10.0,3,10.0,10.0,1,26.0,25.2,4.0,4.800000000000001
Joey Fatone_S4,Joey Fatone,4,5,25.0,8.333333333333334,3,8.0,9.0,3,28.0,25.0,-3.0,0.0
Heather Mills_S4,Heather Mills,4,5,21.0,7.0,3,7.0,7.0,5,23.0,22.0,-2.0,-1.0
Ian Ziering_S4,Ian Ziering,4,5,24.0,8.0,3,8.0,8.0,4,24.0,23.0,0.0,1.0
John Ratzenberger_S4,John Ratzenberger,4,5,18.0,6.0,3,6.0,6.0,6,16.0,18.4,2.0,-0.3999999999999986
Laila Ali_S4,Laila Ali,4,5,28.0,9.333333333333334,3,9.0,10.0,2,21.0,24.0,7.0,4.0
Joey Fatone_S4,Joey Fatone,4,6,27.0,9.0,3,9.0,9.0,3,25.0,25.333333333333332,2.0,1.6666666666666679
Laila Ali_S4,Laila Ali,4,6,28.0,9.333333333333334,3,9.0,10.0,2,28.0,24.666666666666668,0.0,3.333333333333332
Apolo Anton Ohno_S4,Apolo Anton Ohno,4,6,28.0,9.333333333333334,3,9.0,10.0,1,30.0,25.666666666666668,-2.0,2.333333333333332
John Ratzenberger_S4,John Ratzenberger,4,6,19.0,6.333333333333333,3,6.0,7.0,7,18.0,18.5,1.0,0.5
Heather Mills_S4,Heather Mills,4,6,23.0,7.666666666666667,3,7.0,8.0,5,21.0,22.166666666666668,2.0,0.8333333333333321
Ian Ziering_S4,Ian Ziering,4,6,24.0,8.0,3,8.0,8.0,4,24.0,23.166666666666668,0.0,0.8333333333333321
Billy Ray Cyrus_S4,Billy Ray Cyrus,4,6,21.0,7.0,3,7.0,7.0,6,17.0,19.0,4.0,2.0
Apolo Anton Ohno_S4,Apolo Anton Ohno,4,7,27.0,9.0,3,8.5,9.5,3,28.0,25.857142857142858,-1.0,1.1428571428571423
Billy Ray Cyrus_S4,Billy Ray Cyrus,4,7,19.0,6.333333333333333,3,6.0,6.5,6,21.0,19.0,-2.0,0.0
Joey Fatone_S4,Joey Fatone,4,7,29.5,9.833333333333334,3,9.5,10.0,2,27.0,25.928571428571427,2.5,3.571428571428573
Laila Ali_S4,Laila Ali,4,7,29.5,9.833333333333334,3,9.5,10.0,1,28.0,25.357142857142858,1.5,4.142857142857142
Ian Ziering_S4,Ian Ziering,4,7,27.0,9.0,3,9.0,9.0,4,24.0,23.714285714285715,3.0,3.2857142857142847
John Ratzenberger_S4,John Ratzenberger,4,7,22.5,7.5,3,7.5,7.5,5,19.0,19.071428571428573,3.5,3.428571428571427
Joey Fatone_S4,Joey Fatone,4,8,27.5,9.166666666666666,3,9.0,9.5,2,29.5,26.125,-2.0,1.375
Ian Ziering_S4,Ian Ziering,4,8,23.5,7.833333333333333,3,7.5,8.0,4,27.0,23.6875,-3.5,-0.1875
Billy Ray Cyrus_S4,Billy Ray Cyrus,4,8,19.0,6.333333333333333,3,6.0,6.5,5,19.0,19.0,0.0,0.0
Laila Ali_S4,Laila Ali,4,8,26.5,8.833333333333334,3,8.5,9.0,3,29.5,25.5,-3.0,1.0
Apolo Anton Ohno_S4,Apolo Anton Ohno,4,8,29.0,9.666666666666666,3,9.0,10.0,1,27.0,26.25,2.0,2.75
Ian Ziering_S4,Ian Ziering,4,9,29.0,9.666666666666666,3,9.5,10.0,4,23.5,24.27777777777778,5.5,4.722222222222221
Joey Fatone_S4,Joey Fatone,4,9,30.0,10.0,3,10.0,10.0,2,27.5,26.555555555555557,2.5,3.444444444444443
Apolo Anton Ohno_S4,Apolo Anton Ohno,4,9,29.5,9.833333333333334,3,9.5,10.0,3,29.0,26.61111111111111,0.5,2.8888888888888893
Laila Ali_S4,Laila Ali,4,9,30.0,10.0,3,10.0,10.0,1,26.5,26.0,3.5,4.0
Joey Fatone_S4,Joey Fatone,4,10,28.6665,9.5555,3,9.3333,9.6666,2,30.0,26.76665,-1.3335000000000008,1.8998500000000007
