season,week,discrepancy_prob,method1_eliminated,method2_eliminated,method_pair
3,9,0.21,Emmitt Smith_S3,Emmitt Smith_S3,rank_rank_vs_percent_rank
3,10,0.01,Emmitt Smith_S3,Emmitt Smith_S3,rank_rank_vs_percent_rank
4,1,0.88,Laila Ali_S4,Apolo Anton Ohno_S4,rank_rank_vs_percent_rank
4,2,0.9,Ian Ziering_S4,Clyde Drexler_S4,rank_rank_vs_percent_rank
4,3,0.81,Joey Fatone_S4,Leeza Gibbons_S4,rank_rank_vs_percent_rank
4,4,0.84,Billy Ray Cyrus_S4,Apolo Anton Ohno_S4,rank_rank_vs_percent_rank
4,5,0.77,Laila Ali_S4,Billy Ray Cyrus_S4,rank_rank_vs_percent_rank
4,6,0.7,Laila Ali_S4,Apolo Anton Ohno_S4,rank_rank_vs_percent_rank
4,7,0.73,Laila Ali_S4,Ian Ziering_S4,rank_rank_vs_percent_rank
4,8,0.71,Ian Ziering_S4,Ian Ziering_S4,rank_rank_vs_percent_rank
4,9,0.56,Laila Ali_S4,Laila Ali_S4,rank_rank_vs_percent_rank
4,10,0.15,Apolo Anton Ohno_S4,Apolo Anton Ohno_S4,rank_rank_vs_percent_rank
5,1,0.86,Mel B_S5,Mark Cuban_S5,rank_rank_vs_percent_rank
5,2,0.86,Helio Castroneves_S5,Mel B_S5,rank_rank_vs_percent_rank
5,3,0.87,Jane Seymour_S5,Mel B_S5,rank_rank_vs_percent_rank
5,4,0.84,Jane Seymour_S5,Cameron Mathison_S5,rank_rank_vs_percent_rank
5,5,0.74,Cameron Mathison_S5,Cameron Mathison_S5,rank_rank_vs_percent_rank
5,6,0.75,Helio Castroneves_S5,Mel B_S5,rank_rank_vs_percent_rank
5,7,0.65,Jane Seymour_S5,Helio Castroneves_S5,rank_rank_vs_percent_rank
5,8,0.64,Helio Castroneves_S5,Helio Castroneves_S5,rank_rank_vs_percent_rank
5,9,0.44,Helio Castroneves_S5,Helio Castroneves_S5,rank_rank_vs_percent_rank
5,10,0.5,Mel B_S5,Helio Castroneves_S5,rank_rank_vs_percent_rank
6,1,0.86,Steve Guttenberg_S6,Penn Jillette_S6,rank_rank_vs_percent_rank
6,2,0.91,Shannon Elizabeth_S6,Jason Taylor_S6,rank_rank_vs_percent_rank
6,3,0.82,Marlee Matlin_S6,Marlee Matlin_S6,rank_rank_vs_percent_rank
6,4,0.88,Jason Taylor_S6,Kristi Yamaguchi_S6,rank_rank_vs_percent_rank
6,5,0.81,Cristian de la Fuente_S6,Marissa Jaret Winokur_S6,rank_rank_vs_percent_rank
6,6,0.73,Kristi Yamaguchi_S6,Shannon Elizabeth_S6,rank_rank_vs_percent_rank
6,7,0.72,Marissa Jaret Winokur_S6,Jason Taylor_S6,rank_rank_vs_percent_rank
6,8,0.58,Cristian de la Fuente_S6,Cristian de la Fuente_S6,rank_rank_vs_percent_rank
6,9,0.72,Jason Taylor_S6,Kristi Yamaguchi_S6,rank_rank_vs_percent_rank
6,10,0.27,Kristi Yamaguchi_S6,Kristi Yamaguchi_S6,rank_rank_vs_percent_rank
7,1,0.9,Maurice Greene_S7,Toni Braxton_S7,rank_rank_vs_percent_rank
7,2,0.88,Brooke Burke_S7,Cloris Leachman_S7,rank_rank_vs_percent_rank
7,3,0.84,Toni Braxton_S7,Toni Braxton_S7,rank_rank_vs_percent_rank
7,4,0.84,Lance Bass_S7,Warren Sapp_S7,rank_rank_vs_percent_rank
7,5,0.8,Lance Bass_S7,Brooke Burke_S7,rank_rank_vs_percent_rank
7,6,0.73,Warren Sapp_S7,Brooke Burke_S7,rank_rank_vs_percent_rank
7,7,0.68,Maurice Greene_S7,Lance Bass_S7,rank_rank_vs_percent_rank
7,8,0.61,Cody Linley_S7,Brooke Burke_S7,rank_rank_vs_percent_rank
7,9,0.7,Brooke Burke_S7,Brooke Burke_S7,rank_rank_vs_percent_rank
7,10,0.2,Brooke Burke_S7,Brooke Burke_S7,rank_rank_vs_percent_rank
8,1,0.91,Melissa Rycroft_S8,Shawn Johnson_S8,rank_rank_vs_percent_rank
8,2,0.88,Ty Murray_S8,Denise Richards_S8,rank_rank_vs_percent_rank
8,3,0.89,Lawrence Taylor_S8,Ty Murray_S8,rank_rank_vs_percent_rank
8,4,0.83,Steve Wozniak_S8,Ty Murray_S8,rank_rank_vs_percent_rank
8,5,0.8,Lil' Kim_S8,Chuck Wicks_S8,rank_rank_vs_percent_rank
8,6,0.85,Ty Murray_S8,Shawn Johnson_S8,rank_rank_vs_percent_rank
8,7,0.72,Ty Murray_S8,Gilles Marini_S8,rank_rank_vs_percent_rank
8,8,0.81,Gilles Marini_S8,Lil' Kim_S8,rank_rank_vs_percent_rank
8,9,0.64,Gilles Marini_S8,Gilles Marini_S8,rank_rank_vs_percent_rank
8,10,0.64,Shawn Johnson_S8,Gilles Marini_S8,rank_rank_vs_percent_rank
8,11,0.28,Shawn Johnson_S8,Shawn Johnson_S8,rank_rank_vs_percent_rank
9,1,0.97,Natalie Coughlin_S9,Mya_S9,rank_rank_vs_percent_rank
9,2,0.9,Debi Mazar_S9,Aaron Carter_S9,rank_rank_vs_percent_rank
9,3,0.9,Donny Osmond_S9,Joanna Krupa_S9,rank_rank_vs_percent_rank
9,4,0.91,Natalie Coughlin_S9,Donny Osmond_S9,rank_rank_vs_percent_rank
9,5,0.86,Mya_S9,Melissa Joan Hart_S9,rank_rank_vs_percent_rank
9,6,0.87,Donny Osmond_S9,Joanna Krupa_S9,rank_rank_vs_percent_rank
9,7,0.76,Donny Osmond_S9,Kelly Osbourne_S9,rank_rank_vs_percent_rank
9,8,0.6,Mya_S9,Kelly Osbourne_S9,rank_rank_vs_percent_rank
9,9,0.45,Mya_S9,Kelly Osbourne_S9,rank_rank_vs_percent_rank
9,10,0.23,Donny Osmond_S9,Mya_S9,rank_rank_vs_percent_rank
10,1,0.88,Evan Lysacek_S10,Jake Pavelka_S10,rank_rank_vs_percent_rank
10,2,0.87,Pamela Anderson_S10,Nicole Scherzinger_S10,rank_rank_vs_percent_rank
10,3,0.79,Evan Lysacek_S10,Nicole Scherzinger_S10,rank_rank_vs_percent_rank
10,4,0.81,Nicole Scherzinger_S10,Chad Ochocinco_S10,rank_rank_vs_percent_rank
10,5,0.77,Pamela Anderson_S10,Evan Lysacek_S10,rank_rank_vs_percent_rank
10,6,0.71,Chad Ochocinco_S10,Niecy Nash_S10,rank_rank_vs_percent_rank
10,7,0.76,Nicole Scherzinger_S10,Evan Lysacek_S10,rank_rank_vs_percent_rank
10,8,0.68,Chad Ochocinco_S10,Evan Lysacek_S10,rank_rank_vs_percent_rank
10,9,0.44,Evan Lysacek_S10,Nicole Scherzinger_S10,rank_rank_vs_percent_rank
10,10,0.25,Nicole Scherzinger_S10,Nicole Scherzinger_S10,rank_rank_vs_percent_rank
11,1,0.87,Kurt Warner_S11,Brandy_S11,rank_rank_vs_percent_rank
11,2,0.92,Audrina Patridge_S11,Rick Fox_S11,rank_rank_vs_percent_rank
11,3,0.88,The Situation_S11,Rick Fox_S11,rank_rank_vs_percent_rank
11,4,0.86,Audrina Patridge_S11,Jennifer Grey_S11,rank_rank_vs_percent_rank
11,5,0.78,Kurt Warner_S11,Jennifer Grey_S11,rank_rank_vs_percent_rank
11,6,0.81,Jennifer Grey_S11,Brandy_S11,rank_rank_vs_percent_rank
11,7,0.67,Kurt Warner_S11,Brandy_S11,rank_rank_vs_percent_rank
11,8,0.55,Bristol Palin_S11,Jennifer Grey_S11,rank_rank_vs_percent_rank
11,9,0.59,Jennifer Grey_S11,Kyle Massey_S11,rank_rank_vs_percent_rank
11,10,0.28,Jennifer Grey_S11,Kyle Massey_S11,rank_rank_vs_percent_rank
12,1,0.82,Ralph Macchio_S12,Kirstie Alley_S12,rank_rank_vs_percent_rank
12,2,0.84,Kirstie Alley_S12,Ralph Macchio_S12,rank_rank_vs_percent_rank
12,3,0.78,Kendra Wilkinson_S12,Hines Ward_S12,rank_rank_vs_percent_rank
12,4,0.83,Hines Ward_S12,Chris Jericho_S12,rank_rank_vs_percent_rank
12,5,0.81,Hines Ward_S12,Romeo_S12,rank_rank_vs_percent_rank
12,6,0.72,Hines Ward_S12,Romeo_S12,rank_rank_vs_percent_rank
12,7,0.7,Ralph Macchio_S12,Ralph Macchio_S12,rank_rank_vs_percent_rank
12,8,0.67,Kirstie Alley_S12,Chelsea Kane_S12,rank_rank_vs_percent_rank
12,9,0.66,Hines Ward_S12,Ralph Macchio_S12,rank_rank_vs_percent_rank
12,10,0.21,Hines Ward_S12,Hines Ward_S12,rank_rank_vs_percent_rank
13,1,0.94,Chaz Bono_S13,Kristin Cavallari_S13,rank_rank_vs_percent_rank
13,2,0.91,Kristin Cavallari_S13,J.R. Martinez_S13,rank_rank_vs_percent_rank
13,3,0.91,Hope Solo_S13,J.R. Martinez_S13,rank_rank_vs_percent_rank
13,4,0.86,J.R. Martinez_S13,Ricki Lake_S13,rank_rank_vs_percent_rank
13,5,0.83,J.R. Martinez_S13,J.R. Martinez_S13,rank_rank_vs_percent_rank
13,6,0.75,J.R. Martinez_S13,J.R. Martinez_S13,rank_rank_vs_percent_rank
13,7,0.63,Ricki Lake_S13,Ricki Lake_S13,rank_rank_vs_percent_rank
13,8,0.77,Hope Solo_S13,J.R. Martinez_S13,rank_rank_vs_percent_rank
13,9,0.48,Ricki Lake_S13,Rob Kardashian_S13,rank_rank_vs_percent_rank
13,10,0.52,Rob Kardashian_S13,J.R. Martinez_S13,rank_rank_vs_percent_rank
14,1,0.9,Jaleel White_S14,Gavin DeGraw_S14,rank_rank_vs_percent_rank
14,2,0.93,William Levy_S14,Roshon Fegan_S14,rank_rank_vs_percent_rank
14,3,0.86,Gavin DeGraw_S14,Katherine Jenkins_S14,rank_rank_vs_percent_rank
14,4,0.85,William Levy_S14,Katherine Jenkins_S14,rank_rank_vs_percent_rank
14,5,0.81,William Levy_S14,Donald Driver_S14,rank_rank_vs_percent_rank
14,6,0.78,Melissa Gilbert_S14,Donald Driver_S14,rank_rank_vs_percent_rank
14,7,0.85,Maria Menounos_S14,Roshon Fegan_S14,rank_rank_vs_percent_rank
14,8,0.61,Roshon Fegan_S14,William Levy_S14,rank_rank_vs_percent_rank
14,9,0.61,Donald Driver_S14,William Levy_S14,rank_rank_vs_percent_rank
14,10,0.5,Katherine Jenkins_S14,Donald Driver_S14,rank_rank_vs_percent_rank
15,1,0.89,Kelly Monaco_S15,Joey Fatone_S15,rank_rank_vs_percent_rank
15,2,0.89,Melissa Rycroft_S15,Sabrina Bryan_S15,rank_rank_vs_percent_rank
15,3,0.85,Sabrina Bryan_S15,Kelly Monaco_S15,rank_rank_vs_percent_rank
15,4,0.8,Kelly Monaco_S15,Shawn Johnson_S15,rank_rank_vs_percent_rank
15,5,0.8,Gilles Marini_S15,Emmitt Smith_S15,rank_rank_vs_percent_rank
15,6,0.82,Gilles Marini_S15,Kirstie Alley_S15,rank_rank_vs_percent_rank
15,7,0.8,Emmitt Smith_S15,Emmitt Smith_S15,rank_rank_vs_percent_rank
15,8,0.76,Apolo Anton Ohno_S15,Melissa Rycroft_S15,rank_rank_vs_percent_rank
15,9,0.58,Shawn Johnson_S15,Shawn Johnson_S15,rank_rank_vs_percent_rank
15,10,0.36,Shawn Johnson_S15,Melissa Rycroft_S15,rank_rank_vs_percent_rank
16,1,0.88,Zendaya_S16,Alexandra Raisman_S16,rank_rank_vs_percent_rank
16,2,0.88,Kellie Pickler_S16,Ingo Rademacher_S16,rank_rank_vs_percent_rank
16,3,0.88,Alexandra Raisman_S16,Victor Ortiz_S16,rank_rank_vs_percent_rank
16,4,0.87,Alexandra Raisman_S16,Ingo Rademacher_S16,rank_rank_vs_percent_rank
16,5,0.83,Jacoby Jones_S16,Jacoby Jones_S16,rank_rank_vs_percent_rank
16,6,0.84,Sean Lowe_S16,Sean Lowe_S16,rank_rank_vs_percent_rank
16,7,0.87,Jacoby Jones_S16,Jacoby Jones_S16,rank_rank_vs_percent_rank
16,8,0.68,Ingo Rademacher_S16,Zendaya_S16,rank_rank_vs_percent_rank
16,9,0.61,Alexandra Raisman_S16,Alexandra Raisman_S16,rank_rank_vs_percent_rank
16,10,0.45,Jacoby Jones_S16,Kellie Pickler_S16,rank_rank_vs_percent_rank
17,1,0.93,Amber Riley_S17,Amber Riley_S17,rank_rank_vs_percent_rank
17,2,0.88,Jack Osbourne_S17,Christina Milian_S17,rank_rank_vs_percent_rank
17,3,0.92,"Nicole ""Snooki"" Polizzi_S17",Brant Daugherty_S17,rank_rank_vs_percent_rank
17,4,0.86,Bill Engvall_S17,Corbin Bleu_S17,rank_rank_vs_percent_rank
17,5,0.81,Jack Osbourne_S17,Amber Riley_S17,rank_rank_vs_percent_rank
17,6,0.82,Elizabeth Berkley Lauren_S17,Amber Riley_S17,rank_rank_vs_percent_rank
17,7,0.78,Corbin Bleu_S17,Corbin Bleu_S17,rank_rank_vs_percent_rank
17,8,0.79,Elizabeth Berkley Lauren_S17,Leah Remini_S17,rank_rank_vs_percent_rank
17,9,0.81,Corbin Bleu_S17,Corbin Bleu_S17,rank_rank_vs_percent_rank
17,10,0.77,Amber Riley_S17,Corbin Bleu_S17,rank_rank_vs_percent_rank
17,11,0.44,Bill Engvall_S17,Corbin Bleu_S17,rank_rank_vs_percent_rank
18,1,0.92,Meryl Davis_S18,Charlie White_S18,rank_rank_vs_percent_rank
18,2,0.89,Amy Purdy_S18,Meryl Davis_S18,rank_rank_vs_percent_rank
18,3,0.83,NeNe Leakes_S18,Meryl Davis_S18,rank_rank_vs_percent_rank
18,4,0.83,Meryl Davis_S18,Amy Purdy_S18,rank_rank_vs_percent_rank
18,5,0.82,Meryl Davis_S18,Danica McKellar_S18,rank_rank_vs_percent_rank
18,6,0.78,Charlie White_S18,Amy Purdy_S18,rank_rank_vs_percent_rank
18,7,0.76,Amy Purdy_S18,Amy Purdy_S18,rank_rank_vs_percent_rank
18,8,0.67,Meryl Davis_S18,Meryl Davis_S18,rank_rank_vs_percent_rank
18,9,0.55,Meryl Davis_S18,Meryl Davis_S18,rank_rank_vs_percent_rank
18,10,0.45,Meryl Davis_S18,Meryl Davis_S18,rank_rank_vs_percent_rank
19,1,0.86,Bethany Mota_S19,Bethany Mota_S19,rank_rank_vs_percent_rank
19,2,0.87,Jonathan Bennett_S19,Jonathan Bennett_S19,rank_rank_vs_percent_rank
19,3,0.86,Bethany Mota_S19,Bethany Mota_S19,rank_rank_vs_percent_rank
19,4,0.84,Sadie Robertson_S19,Lea Thompson_S19,rank_rank_vs_percent_rank
19,5,0.87,Bethany Mota_S19,Bethany Mota_S19,rank_rank_vs_percent_rank
19,6,0.82,Michael Waltrip_S19,Bethany Mota_S19,rank_rank_vs_percent_rank
19,7,0.75,Bethany Mota_S19,Alfonso Ribeiro_S19,rank_rank_vs_percent_rank
19,8,0.66,Bethany Mota_S19,Bethany Mota_S19,rank_rank_vs_percent_rank
19,9,0.62,Janel Parrish_S19,Alfonso Ribeiro_S19,rank_rank_vs_percent_rank
19,10,0.54,Bethany Mota_S19,Janel Parrish_S19,rank_rank_vs_percent_rank
19,11,0.48,Alfonso Ribeiro_S19,Alfonso Ribeiro_S19,rank_rank_vs_percent_rank
20,1,0.89,Rumer Willis_S20,Redfoo_S20,rank_rank_vs_percent_rank
20,2,0.88,Nastia Liukin_S20,Patti LaBelle_S20,rank_rank_vs_percent_rank
20,3,0.82,Willow Shields_S20,Nastia Liukin_S20,rank_rank_vs_percent_rank
20,4,0.86,Rumer Willis_S20,Willow Shields_S20,rank_rank_vs_percent_rank
20,5,0.77,Chris Soules_S20,Nastia Liukin_S20,rank_rank_vs_percent_rank
20,6,0.82,Nastia Liukin_S20,Nastia Liukin_S20,rank_rank_vs_percent_rank
20,7,0.71,Chris Soules_S20,Rumer Willis_S20,rank_rank_vs_percent_rank
20,8,0.67,Rumer Willis_S20,Rumer Willis_S20,rank_rank_vs_percent_rank
20,9,0.43,Riker Lynch_S20,Riker Lynch_S20,rank_rank_vs_percent_rank
20,10,0.2,Rumer Willis_S20,Rumer Willis_S20,rank_rank_vs_percent_rank
21,1,0.9,Alek Skarlatos_S21,Hayes Grier_S21,rank_rank_vs_percent_rank
21,2,0.91,Nick Carter_S21,Alexa PenaVega_S21,rank_rank_vs_percent_rank
21,3,0.86,Alexa PenaVega_S21,Alexa PenaVega_S21,rank_rank_vs_percent_rank
21,4,0.81,Hayes Grier_S21,Hayes Grier_S21,rank_rank_vs_percent_rank
21,5,0.78,Hayes Grier_S21,Alexa PenaVega_S21,rank_rank_vs_percent_rank
21,6,0.87,Hayes Grier_S21,Hayes Grier_S21,rank_rank_vs_percent_rank
21,7,0.83,Alexa PenaVega_S21,Carlos PenaVega_S21,rank_rank_vs_percent_rank
21,8,0.75,Nick Carter_S21,Nick Carter_S21,rank_rank_vs_percent_rank
21,9,0.7,Alexa PenaVega_S21,Bindi Irwin_S21,rank_rank_vs_percent_rank
21,10,0.41,Carlos PenaVega_S21,Bindi Irwin_S21,rank_rank_vs_percent_rank
21,11,0.42,Bindi Irwin_S21,Bindi Irwin_S21,rank_rank_vs_percent_rank
22,1,0.86,Jodie Sweetin_S22,Marla Maples_S22,rank_rank_vs_percent_rank
22,2,0.92,Ginger Zee_S22,Jodie Sweetin_S22,rank_rank_vs_percent_rank
22,3,0.82,Wanya Morris_S22,Wanya Morris_S22,rank_rank_vs_percent_rank
22,4,0.83,Kim Fields_S22,Marla Maples_S22,rank_rank_vs_percent_rank
22,5,0.86,Ginger Zee_S22,Nyle DiMarco_S22,rank_rank_vs_percent_rank
22,6,0.89,Antonio Brown_S22,Paige VanZant_S22,rank_rank_vs_percent_rank
22,7,0.8,Wanya Morris_S22,Antonio Brown_S22,rank_rank_vs_percent_rank
22,8,0.72,Ginger Zee_S22,Ginger Zee_S22,rank_rank_vs_percent_rank
22,9,0.47,Nyle DiMarco_S22,Paige VanZant_S22,rank_rank_vs_percent_rank
22,10,0.55,Nyle DiMarco_S22,Nyle DiMarco_S22,rank_rank_vs_percent_rank
23,1,0.85,James Hinchcliffe_S23,James Hinchcliffe_S23,rank_rank_vs_percent_rank
23,2,0.86,James Hinchcliffe_S23,Terra Jole_S23,rank_rank_vs_percent_rank
23,3,0.88,Terra Jole_S23,Rick Perry_S23,rank_rank_vs_percent_rank
23,4,0.86,Jana Kramer_S23,Calvin Johnson Jr._S23,rank_rank_vs_percent_rank
23,5,0.88,James Hinchcliffe_S23,Terra Jole_S23,rank_rank_vs_percent_rank
23,6,0.92,Marilu Henner_S23,Jana Kramer_S23,rank_rank_vs_percent_rank
23,7,0.77,Terra Jole_S23,James Hinchcliffe_S23,rank_rank_vs_percent_rank
23,8,0.7,Calvin Johnson Jr._S23,Laurie Hernandez_S23,rank_rank_vs_percent_rank
23,9,0.66,Jana Kramer_S23,Jana Kramer_S23,rank_rank_vs_percent_rank
23,10,0.61,Terra Jole_S23,Jana Kramer_S23,rank_rank_vs_percent_rank
23,11,0.44,Calvin Johnson Jr._S23,Laurie Hernandez_S23,rank_rank_vs_percent_rank
24,1,0.85,Rashad Jennings_S24,Rashad Jennings_S24,rank_rank_vs_percent_rank
24,2,0.9,Charo_S24,Rashad Jennings_S24,rank_rank_vs_percent_rank
24,3,0.98,Rashad Jennings_S24,Erika Jayne_S24,rank_rank_vs_percent_rank
24,4,0.88,Rashad Jennings_S24,Simone Biles_S24,rank_rank_vs_percent_rank
24,5,0.88,Simone Biles_S24,Normani_S24,rank_rank_vs_percent_rank
24,6,0.85,Nancy Kerrigan_S24,Normani_S24,rank_rank_vs_percent_rank
24,7,0.74,Normani_S24,Rashad Jennings_S24,rank_rank_vs_percent_rank
24,8,0.6,David Ross_S24,Rashad Jennings_S24,rank_rank_vs_percent_rank
24,9,0.48,Rashad Jennings_S24,Rashad Jennings_S24,rank_rank_vs_percent_rank
24,10,0.28,Rashad Jennings_S24,Rashad Jennings_S24,rank_rank_vs_percent_rank
25,1,0.89,Sasha Pieterse_S25,Sasha Pieterse_S25,rank_rank_vs_percent_rank
25,2,0.92,Drew Scott_S25,Frankie Muniz_S25,rank_rank_vs_percent_rank
25,3,0.86,Derek Fisher_S25,Jordan Fisher_S25,rank_rank_vs_percent_rank
25,4,0.85,Vanessa Lachey_S25,Jordan Fisher_S25,rank_rank_vs_percent_rank
25,5,0.84,Jordan Fisher_S25,Jordan Fisher_S25,rank_rank_vs_percent_rank
25,6,0.82,Victoria Arlen_S25,Jordan Fisher_S25,rank_rank_vs_percent_rank
25,7,0.75,Drew Scott_S25,Drew Scott_S25,rank_rank_vs_percent_rank
25,8,0.86,Lindsey Stirling_S25,Drew Scott_S25,rank_rank_vs_percent_rank
25,9,0.52,Jordan Fisher_S25,Lindsey Stirling_S25,rank_rank_vs_percent_rank
25,10,0.44,Jordan Fisher_S25,Jordan Fisher_S25,rank_rank_vs_percent_rank
26,1,0.84,Josh Norman_S26,Josh Norman_S26,rank_rank_vs_percent_rank
26,2,0.88,Adam Rippon_S26,Josh Norman_S26,rank_rank_vs_percent_rank
26,3,0.77,Tonya Harding_S26,Adam Rippon_S26,rank_rank_vs_percent_rank
26,4,0.21,Adam Rippon_S26,Adam Rippon_S26,rank_rank_vs_percent_rank
27,1,0.88,Juan Pablo Di Pace_S27,DeMarcus Ware_S27,rank_rank_vs_percent_rank
27,2,0.89,John Schneider_S27,Mary Lou Retton_S27,rank_rank_vs_percent_rank
27,3,0.82,Evanna Lynch_S27,Juan Pablo Di Pace_S27,rank_rank_vs_percent_rank
27,4,0.88,Mary Lou Retton_S27,Alexis Ren_S27,rank_rank_vs_percent_rank
27,5,0.84,Milo Manheim_S27,Juan Pablo Di Pace_S27,rank_rank_vs_percent_rank
27,6,0.9,Evanna Lynch_S27,Juan Pablo Di Pace_S27,rank_rank_vs_percent_rank
27,7,0.71,Joe Amabile_S27,Evanna Lynch_S27,rank_rank_vs_percent_rank
27,8,0.77,Evanna Lynch_S27,Alexis Ren_S27,rank_rank_vs_percent_rank
27,9,0.78,Bobby Bones_S27,Milo Manheim_S27,rank_rank_vs_percent_rank
28,1,0.89,Kel Mitchell_S28,Sean Spicer_S28,rank_rank_vs_percent_rank
28,2,0.84,Mary Wilson_S28,Sean Spicer_S28,rank_rank_vs_percent_rank
28,3,0.82,James Van Der Beek_S28,James Van Der Beek_S28,rank_rank_vs_percent_rank
28,4,0.79,Lauren Alaina_S28,Karamo Brown_S28,rank_rank_vs_percent_rank
28,5,0.85,James Van Der Beek_S28,Hannah Brown_S28,rank_rank_vs_percent_rank
28,6,0.85,James Van Der Beek_S28,Lauren Alaina_S28,rank_rank_vs_percent_rank
28,7,0.81,Hannah Brown_S28,Lauren Alaina_S28,rank_rank_vs_percent_rank
28,8,0.82,James Van Der Beek_S28,James Van Der Beek_S28,rank_rank_vs_percent_rank
28,9,0.79,James Van Der Beek_S28,Ally Brooke_S28,rank_rank_vs_percent_rank
28,10,0.63,Ally Brooke_S28,Ally Brooke_S28,rank_rank_vs_percent_rank
28,11,0.54,Hannah Brown_S28,Hannah Brown_S28,rank_rank_vs_percent_rank
29,1,0.91,Kaitlyn Bristowe_S29,Jeannie Mai_S29,rank_rank_vs_percent_rank
29,2,0.95,Kaitlyn Bristowe_S29,Carole Baskin_S29,rank_rank_vs_percent_rank
29,3,0.86,Kaitlyn Bristowe_S29,Johnny Weir_S29,rank_rank_vs_percent_rank
29,4,0.93,Skai Jackson_S29,AJ McLean_S29,rank_rank_vs_percent_rank
29,5,0.85,Johnny Weir_S29,Monica Aldama_S29,rank_rank_vs_percent_rank
29,6,0.84,Nelly_S29,Nelly_S29,rank_rank_vs_percent_rank
29,7,0.83,Nev Schulman_S29,AJ McLean_S29,rank_rank_vs_percent_rank
29,8,0.88,Nev Schulman_S29,Johnny Weir_S29,rank_rank_vs_percent_rank
29,9,0.73,Johnny Weir_S29,Johnny Weir_S29,rank_rank_vs_percent_rank
29,10,0.74,Kaitlyn Bristowe_S29,Skai Jackson_S29,rank_rank_vs_percent_rank
29,11,0.44,Kaitlyn Bristowe_S29,Kaitlyn Bristowe_S29,rank_rank_vs_percent_rank
30,1,0.9,Cody Rigsby_S30,Melora Hardin_S30,rank_rank_vs_percent_rank
30,2,0.92,Melora Hardin_S30,JoJo Siwa_S30,rank_rank_vs_percent_rank
30,3,0.84,Kenya Moore_S30,JoJo Siwa_S30,rank_rank_vs_percent_rank
30,4,0.92,"Mike ""The Miz"" Mizanin_S30",Melora Hardin_S30,rank_rank_vs_percent_rank
30,5,0.84,Melora Hardin_S30,Olivia Jade_S30,rank_rank_vs_percent_rank
30,6,0.88,Amanda Kloots_S30,Iman Shumpert_S30,rank_rank_vs_percent_rank
30,7,0.8,JoJo Siwa_S30,JoJo Siwa_S30,rank_rank_vs_percent_rank
30,8,0.81,Amanda Kloots_S30,Amanda Kloots_S30,rank_rank_vs_percent_rank
30,9,0.71,JoJo Siwa_S30,Melora Hardin_S30,rank_rank_vs_percent_rank
30,10,0.53,Iman Shumpert_S30,Iman Shumpert_S30,rank_rank_vs_percent_rank
31,1,0.91,Sam Champion_S31,Daniel Durant_S31,rank_rank_vs_percent_rank
31,2,0.91,Charli D'Amelio_S31,Sam Champion_S31,rank_rank_vs_percent_rank
31,3,0.85,Charli D'Amelio_S31,Trevor Donovan_S31,rank_rank_vs_percent_rank
31,4,0.91,Heidi D'Amelio_S31,Heidi D'Amelio_S31,rank_rank_vs_percent_rank
31,5,0.82,Jordin Sparks_S31,Gabby Windey_S31,rank_rank_vs_percent_rank
31,6,0.81,Daniel Durant_S31,Gabby Windey_S31,rank_rank_vs_percent_rank
31,7,0.8,Charli D'Amelio_S31,Charli D'Amelio_S31,rank_rank_vs_percent_rank
